HVH_027_0042_0001	正月初四日明平帝祭文。
HVH_027_0042_0002	位前曰。
HVH_027_0042_0003	歲律更始。
HVH_027_0042_0004	祀事孔修。
HVH_027_0042_0005	仰惟神庥。
HVH_027_0042_0006	尚寧榦止。
HVH_027_0042_0007	三月節入席春秋臘節祭文。
HVH_027_0042_0008	位前曰。
HVH_027_0042_0009	季春之候。
HVH_027_0042_0010	萬景韶媚。
HVH_027_0042_0011	敬修常儀。
HVH_027_0042_0012	以祈福祉。
HVH_027_0042_0013	言念神功。
HVH_027_0042_0014	綏此鄰里。
HVH_027_0042_0015	歲時享將。
HVH_027_0042_0016	神亦寧止。
HVH_027_0042_0017	洋洋在茲。
HVH_027_0042_0018	式歆時祀。
HVH_027_0042_0019	廸保民康。
HVH_027_0042_0020	延于歷紀。
HVH_027_0042_0021	春節改為仲春之候。
HVH_027_0042_0022	萬景韶媚。
HVH_027_0042_0023	秋節改為仲秋之候。
HVH_027_0042_0024	月華嶽媚。
HVH_027_0042_0025	臘節改為臘梅滿林。
HVH_027_0042_0026	歲云莫矣。
HVH_027_0042_0027	等皆同三月節出席祭文。
HVH_027_0042_0028	位前曰。
HVH_027_0042_0029	季春之候。
HVH_027_0042_0030	入席祈福。
HVH_027_0042_0031	一色黃髫。
HVH_027_0042_0032	舞手蹈足。
HVH_027_0042_0033	今日出席。
HVH_027_0042_0034	敢不以告。
HVH_027_0042_0035	尚其饗歆。
HVH_027_0042_0036	錫嘏惟萬。
HVH_027_0042_0037	下田祭文。
HVH_027_0042_0038	位前曰。
HVH_027_0042_0039	惟此稼穡。
HVH_027_0042_0040	惟民之天。
HVH_027_0042_0041	四月惟夏。
HVH_027_0042_0042	田事興焉。
HVH_027_0042_0043	及時趨事。
HVH_027_0042_0044	陳告惟虔。
HVH_027_0042_0045	惟神克相。
HVH_027_0042_0046	錫以豐年。
HVH_027_0042_0047	下稼上田祭文。
HVH_027_0042_0048	位前曰。
HVH_027_0042_0049	惟此稼穡。
HVH_027_0042_0050	惟民之天。
HVH_027_0042_0051	及時下稼。
HVH_027_0042_0052	陳告惟虔。
HVH_027_0042_0053	我
