HVH_031_0020_0001	行功過格查得自己過惡如捉己身蚤虱必須除盡備稍存留第二番又嚙人矣。
HVH_031_0020_0002	行功過格須特看善書方有進步若不看善書則孤陋寡聞善行易量且恐後有變遷。
HVH_031_0020_0003	功過格是不昧燈人能常常提此高炤則暗室之事皆可洞徹不然動多磕撞不跌必仆也。
HVH_031_0020_0004	功過格有三種人行不得自棄者行不得自暴者行不得自以為是者亦行不得。
HVH_031_0020_0005	行功過格如登高然上一層又有一層果能爬得上去自有無限趣味若能上到極頂則人盡見天便是聖賢地位以上出信心錄功過格校編說引顏光衷曰世有一等人好阻人為善見人施濟則曰施濟有限綆窄猶病何況匹夫且後來值此恐難繼也殊不知限我以不得為固無可如何乃若財分得為損我錙銖救人危急將亦曰吾不能博濟姑已之乎况人之縱欲奢侈每每只顧眼前並不瞻前慮後至於救濟則偏計較久遠以不能徧及自解是終無行善時也又有一等人見人放生則曰人為重見人助喪則曰生人要食為重見人施濟則曰窮親戚賑之為重果爾則親親仁民愛物必一件完而後可做那一件耶
