HVH_010_0060_000001	男侍读生徒，率選左隊軍凉武伯，令贈奉護大夫。
HVH_010_0060_000002	侍读公傅公，忠壽伯，公第二男，曹郡师，望享有諒。
HVH_010_0060_000003	景興壬午年七月，弟三男，理恭缉，所遇雖屈，人，皆以重厚長者嚴之。
HVH_010_0060_000004	少讀書，年冠去学武，眼带微黄，色浅白，腰圆背厚，高大，相稱严重，有威儀。
HVH_010_0060_000005	60。
HVH_010_0060_000006	經習武藝，騎射尤長。
HVH_010_0060_000007	年十九，結娶宜人。
HVH_010_0060_000008	年二十，辛丑年，生女金，年二十二。
HVH_010_0060_000009	癸卯科，應武举中，生徒弟一名。
HVH_010_0060_000010	是年生男枕，年二十三，蒙领選左隊軍，爵凉武伯，食邑上農。
HVH_010_0060_000011	下農二社。
HVH_010_0060_000012	年二十四。
HVH_010_0060_000013	乙已年，生男，丙午西亂，年三十一。
HVH_010_0060_000014	壬午年生女，公乘他贪睡，解缚脱去，向非天相，其吉吁亦殆哉！
HVH_010_0060_000015	年三十，偶逢鼎革屢兴，故黎臣謀唱義，嘗带兵為迎进所獲，討買围池于前璥郡公营五六畝，養木畜魚，僅以自贍。
HVH_010_0060_000016	四。
HVH_010_0060_000017	乙卯生男，養三十六，生男，藥泊西平，乃始营生为事，育纳庶室阮氏眷，年四十三。
HVH_010_0060_000018	甲子生女满，年四十六。
HVH_010_0060_000019	丁卯生女艷，年四十八，已已生男安，年五十一。
HVH_010_0060_000020	壬申生男，年五十三。
HVH_010_0060_000021	甲戌生男俊，年五十六。
HVH_010_0060_000022	丁丑生男，力嘗乘月，酒醉無泛，常言"武臣劳碌，吾不願子孫為此，藝其東文，好禮赐也。
HVH_010_0060_000023	分雖微，敢自愛身子，前此不量，屡謀唱義，自致一點，宛爾儒風平居，自謂吾家世受君恩国禄，此身骨肉，黎之忠愛之。
HVH_010_0060_000024	忱焉耳。
HVH_010_0060_000025	祭於家，庙必誠焉，必荘焉。
HVH_010_0060_000026	有所慈，甘旨於慈，侍孺人，必日祭之豊，不如養之薄。
HVH_010_0060_000027	造士丈素貧，弘信大夫卵而翼之，所與之費無量。
HVH_010_0060_000028	鼎革間，婦依於弟。
HVH_010_0060_000029	吾
