HVH_008_0002_000001	2颈休说著，醉吟泽畔，任间连艺知蔡氏营始黎偏安，理必復国，而宝骸随處有闲鱼。
HVH_008_0002_000002	磨爵谁驱重已卜渡江马，秘患应防入室疆。
HVH_008_0002_000003	世子到正六年年未春，年四十五，起，春试四場第一庭进士及第，受東阁校其隐语也。
HVH_008_0002_000004	既菜四方平，親朋多勒仕。
HVH_008_0002_000005	年四十四，娘就御试，首送真大書和停莫太尊所製春天御谐诗，得预優项，拜刑部左侍印。
HVH_008_0002_000006	俄迁吏部左伟订，兼东调太学士。
HVH_008_0002_000007	在朝八年，疏就弄风疏法十八人，请诛其志年号欲养物，各予其所微而貌替，示接歌业。
HVH_008_0002_000008	忽值婿范瑶贵模，恐累连姻，卧雲敬重塗山诸山，背杖履陵道长庭嘴，住来或徜祥，终日遇樹，记其室。
HVH_008_0002_000009	父修茸伏寺，携老僧同辰，或扁舟泛全，郁体见鱼安子。
HVH_008_0002_000010	4。
HVH_008_0002_000011	木青山好鸟，爱欣自实。
HVH_008_0002_000012	公教在家，莫予以师礼。
HVH_008_0002_000013	因有大子，遣偶就放。
HVH_008_0002_000014	或微至京师，询以大计，從规昼，裨益弘多。
HVH_008_0002_000015	尋復还庵，顾志竟不可留。
HVH_008_0002_000016	以功封程泉侯，累隆吏部尚書。
HVH_008_0002_000017	大傳程二代祖考姚皆受封要。
HVH_008_0002_000018	三人屡腾福原，甚患词行对口倦。
HVH_008_0002_000019	父债与医有者美。
HVH_008_0002_000020	昔常门现会，出守甘氣道，一周难後合，長江有限，東南债中请颇柜快倦有将才。
HVH_008_0002_000021	我首酌酒，满欢乘睡，更移北岸，伏兵率起，因渝，以宗美国，思你因感注，遂携天長在，与信家用计。
HVH_008_0002_000022	中一物，遂将百人先伏岸北移。
HVH_008_0002_000023	書倦就船。
HVH_008_0002_000024	ari
