HVH_002_0005_000001	石室香义正一旁二。
HVH_002_0005_000002	香艾降世脉，從右生前合，两水凌起，三停，雄雌交度，老嫩同行，左右相对，主容相迎。
HVH_002_0005_000003	文出科第。
HVH_002_0005_000004	武童五戎2，恐逢反水，不全合名言反水在方，立穴，深下六尺，見之，此地以石并銀子一两。
HVH_002_0005_000005	安朗理海正一旁三。
HVH_002_0005_000006	安朗理海形，世最大氣，隐脉乙，冰山现城眉業生蚌女微形奇穴恢童排甲山虎0，恐生態侍宫中，男车困外虎水遇宫，遇在辰方，此地鄭遮先生守穴，祭之，以猪并白成方。
