HVH_013_0126_0001	民心而通之，擇避之，侍民心為心者，孰不信其為得人，率以得民有其道也。
HVH_013_0126_0002	若盤庚迁都，浮言動而决以用廷，視先王動而不熈，勞而不怨，似不若是之强民也。
HVH_013_0126_0003	然迁都之幸，盖以利迁也，適毫依山以利，只不言而心有同然，幾従厥志而後有涉河之擧，即不惟不動者，随帖於之，宣佈之列而往，故生乃家，永建兹實，作新邑。
HVH_013_0126_0004	用密盟疾因民願也。
HVH_013_0126_0005	若湯一征，自葛始，應乎人而有征，誅之師，即此征彼烈烈，叙乎先信其有救民心也。
HVH_013_0126_0006	若師不法，則內是乱，有之伐無犯湯之天討也。
HVH_013_0126_0007	雖則畏其暴而望有仁人，怨其為我后，后来其蘇，民有此簞壺之迎，候伐燕而虐滋甚，既非始心，而其師，暋燕而仁政不行，又無所雪，云霓之望，有迎師之湯寇而無弔伐之湯仁，即水深火熱，復后者隨而之他，畏有謀，救無率，不動四隣之戎，甲一夫而及於魯而齊亦哀，犯境，其衣褚之法，鄭人之泣子產者，无殊，孔明为政於蜀，而梁益遺思，每甘棠之憩，凡今之思召公者，无異夫闻说布公而邦域皆畏，惟忠武侯公則民心服，在此固无掛議矣。
HVH_013_0126_0008	若夫子既至矣，他道在化，而存者神，非徒操辟刑書以使子產之權得以委則用力，執效矣，滕之土地，甲兵，不直三家之用，即期月而可与政，雖
