HVH_010_0052_000001	女老女。
HVH_010_0052_000002	丙廷信公房，癸酉年生。
HVH_010_0052_000003	配阮氏，青池仁睦人。
HVH_010_0052_000004	女秦女晋女。
HVH_010_0052_000005	女当评公房，有儷公房。
HVH_010_0052_000006	1。
