HVH_028_0013_0001	十世
HVH_028_0013_0002	周文楚 文長
HVH_028_0013_0003	妣馮氏杼 生周氏接
HVH_028_0013_0004	妣周氏他 生周氏塊
HVH_028_0013_0005	妣周氏鄧 生周氏柯
HVH_028_0013_0006	周氏
HVH_028_0013_0007	十一世
HVH_028_0013_0008	周文漢
HVH_028_0013_0009	生周文漢
HVH_028_0013_0010	生周文斯
HVH_028_0013_0011	周文爭
HVH_028_0013_0012	周文鼎
HVH_028_0013_0013	瑩壙祭処
HVH_028_0013_0014	十一月二十六日
HVH_028_0013_0015	瑩壙祭処
HVH_028_0013_0016	六月初一日
HVH_028_0013_0017	葬同祔処
HVH_028_0013_0018	六月初八日
