HVH_008_0013_000001	25予親，谁谓努颜闻处，友人题有子休言多子足。
HVH_008_0013_000002	吾知教子示为难。
HVH_008_0013_000003	重逢礼世萃全安庵館偷调强自宽。
HVH_008_0013_000004	潦尽清潭雲彩瘦，秋深叶雨声乾。
HVH_008_0013_000005	满院春花血。
HVH_008_0013_000006	养笑一楼秋月，白人明。
HVH_008_0013_000007	民皆目观。
HVH_008_0013_000008	新改谁为君王教太平。
HVH_008_0013_000009	陽和，萬物共生辉。
HVH_008_0013_000010	传非吾所独私。
HVH_008_0013_000011	乍雨園花作点半晴。
HVH_008_0013_000012	堤畔柳舒眉。
HVH_008_0013_000013	东风易醉，重携酒，春琶难福，却借诗。
HVH_008_0013_000014	谁御间中真樂趣。
HVH_008_0013_000015	一啼鸟午眼辰，一年流出儿光陰。
HVH_008_0013_000016	首隐携書重尋津館春花风寒，江秋水月，心已晓，世连随放未医野性任康憂辰寸会憑写出有交。
HVH_008_0013_000017	半夜钟。
HVH_008_0013_000018	六块终注便泰通。
HVH_008_0013_000019	偶秉鹤服，且容池馆细波光静，庭院山亭花影重下。
HVH_008_0013_000020	最爱津亭明月夜乘间。
HVH_008_0013_000021	把酒自歌。
HVH_008_0013_000022	任他恐马独内省知多我未自笑情耽野趣，谁供甘养年常有竟而食，身外何求睡。
HVH_008_0013_000023	却眼报道兒膝，休说著生宿炎。
HVH_008_0013_000024	莫非天。
HVH_008_0013_000025	清风千古在樓基。
HVH_008_0013_000026	明月先展圆。
HVH_008_0013_000027	兒孫自有完孫。
HVH_008_0013_000028	只恐兒孫未必贤，也不尤人不愁天安吾性命，养吾年，為声見伐多怜的，自色而香。
HVH_008_0013_000029	独爱谨座上言同造化，冷情芳限逐雲煙。
HVH_008_0013_000030	園蔬竹笋供辰食，苦節，清修老更禅。
HVH_008_0013_000031	古往今来年又年。
HVH_008_0013_000032	死生有命豈通天。
HVH_008_0013_000033	江流。
HVH_008_0013_000034	曲舟随楫，山路崎。
HVH_008_0013_000035	唱馬奮鞭至通难寓意下功區名同休矣。
HVH_008_0013_000036	休第阅世一舟风来，津凉重夏月到書楼耀正秋日投词）我已年衰，继往谁能会。
HVH_008_0013_000037	婦猴匪人心。
HVH_008_0013_000038	天强在，又淪夷。
HVH_008_0013_000039	秋育谁云得道，敢总师。
HVH_008_0013_000040	绕薄由来世教微学。
HVH_008_0013_000041	昔曾闻。
HVH_008_0013_000042	贺发程门，今罕見。
HVH_008_0013_000043	樞衣東卯知大澳，白西神溪山亦呈供。
HVH_008_0013_000044	吾樂忍賀前盟。
HVH_008_0013_000045	萬里院B。
HVH_008_0013_000046	'
