HVH_023_0071_0001	用蕙、聊堪果腹宜戒紫美、藜藿充飢、蕨薇供飽、柚已久
HVH_023_0071_0002	空徒歌棘以新終不食枉殺桑田 享君子而歌毳葉、見猒士而問翳
HVH_023_0071_0003	桑、
HVH_023_0071_0004	以上植物門
HVH_023_0071_0005	雜組
HVH_023_0071_0006	憂封嗜酒者叔遺羹、春釀成於濩稻飲可消寒朋饗舉於滌
HVH_023_0071_0007	場甗能獻壽 齊視春羹視夏醢視秋飲視冬春宜酸夏宜苦
HVH_023_0071_0008	秋宜辛冬宜鹹 己丙未與庚射姑因之被誄求酒弗償太叔遺肉之
HVH_023_0071_0009	見还 烹邑考而為美戮鄭子而用社、卜晝而未卜夜視冬奠
HVH_023_0071_0010	視春、
HVH_023_0071_0011	以上雜組門
HVH_023_0071_0012	宮室 龍岡
HVH_023_0071_0013	宮室部
HVH_023_0071_0014	宮室
HVH_023_0071_0015	干支
HVH_023_0071_0016	夏癸作傾宮商辛作瓊室、庚戌次位乙卯達覓、壬辰癸及雉門
HVH_023_0071_0017	辛丑癸及雉門亳社辛卯癸及司鐸己亥癸及咸叩 以上干支門
HVH_023_0071_0018	方位
HVH_023_0071_0019	東、西九筵南七筵東西九雉南七雉、東序西序東房西房東楹
HVH_023_0071_0020	西楹東階西階、
HVH_023_0071_0021	以上方位門
HVH_023_0071_0022	數目
HVH_023_0071_0023	應门八秩重軒三階、九尺七尺五尺一達二達三達 宣興百堵臺
HVH_023_0071_0024	者三築館者一、
HVH_023_0071_0025	以上數目門
