HVH_010_0005_000001	者，乃撮其分註如蕴编。
HVH_010_0005_000002	從之。
HVH_010_0005_000003	今因之。
HVH_010_0005_000004	庶無参蕉辭繁者。
HVH_010_0005_000005	節之。
HVH_010_0005_000006	其牘於某姚某氏之下，並書里系见後。
HVH_010_0005_000007	惟某氏非生下本支與本院魄所在，故慎之也。
HVH_010_0005_000008	編集並務寔録，不事浮飭，不敢以疑為信，恐失真也。
HVH_010_0005_000009	華地前書之備矣。
HVH_010_0005_000010	復為莹兆總誌，詳其先人體。
HVH_010_0005_000011	5發心地，後改芳烈（按：芳烈乃古盛烈之第九甲。
HVH_010_0005_000012	青池盛烈，奇形怪穴，八将氣藏四神，朝謁，前水八懷，後澗横截，或塑木根，或栽瓜節，富貴荣花，簪缨不绝。
