HVH_010_0043_000001	男配阮氏，乏嗣。
HVH_010_0043_000002	男。
HVH_010_0043_000003	男有儀公房。
HVH_010_0043_000004	43。
HVH_010_0043_000005	女氏宛女氏。
HVH_010_0043_000006	合男明，諱晃。
HVH_010_0043_000007	女氏並有全公房男。
HVH_010_0043_000008	++。
