HVH_007_0010_000001	世祖高皇帝大振英威，開拓疆土。
HVH_007_0010_000002	肆。
HVH_007_0010_000003	今正店敕白馬佐正大王渡國，民稔务功滤經有歷朝封照，奉我耿命，光织鸿圆，缅念神床，盍隆，思典可加，照，指成衡侮保障。
HVH_007_0010_000004	上寺神準许壽昌縣鼓普坊上村東甲，依舊奉多神具相佑，保救我黎民。
HVH_007_0010_000005	故。
HVH_007_0010_000006	明命二年七月二十一日"世祖高皇大振美威，闹拓卧土。
HVH_007_0010_000007	肆。
HVH_007_0010_000008	今正育敖靈郎大李護國花民稔著助德，經有度朝封，奉我耿命，光经圆鸿缅会神麻吉隆恩奥可如妙化，场灵助火。
HVH_007_0010_000009	上寺祥非许奇昌縣鼓乐坊上村東甲，依舊奉事神具救佑，保我黎民。
HVH_007_0010_000010	故。
HVH_007_0010_000011	明命二年七月二十一日（
