HVH_010_0073_000001	患疽，起腿，初视以為常。
HVH_010_0073_000002	七月誤為医灸，潰爛不收。
HVH_010_0073_000003	八月初八日午，刻爵終，謚純雅，病中，神明不哀。
HVH_010_0073_000004	身後祭事锦隐，果然適霖雨蒸所居。
HVH_010_0073_000005	本岩公原配黎氏，號慈妙，宜嘱言仔细。
HVH_010_0073_000006	前七八日索曆来看，自言八月之八日午牌。
HVH_010_0073_000007	嘉林古碑人。
HVH_010_0073_000008	開祖平吳開國太尉变國公考功臣孫管阮公，女無所出，年七十，公而卒，葬巨靈。
HVH_010_0073_000009	妾生女琬，妾生女軍生子二男，送女織公继室阮氏，嘉林古碑人，開雄知縣。
HVH_010_0073_000010	13。
HVH_010_0073_000011	男。
HVH_010_0073_000012	弟二姿，官员。
HVH_010_0073_000013	子字文焕，景興乙己年生。
HVH_010_0073_000014	一郵兵馬，他吃避公與之抗。
HVH_010_0073_000015	他們嘛兵之。
HVH_010_0073_000016	公有腑氣，無所重之。
HVH_010_0073_000017	读書央習，舉業慷概。
HVH_010_0073_000018	員大節春行掃墓，遇强黨攝伯兄馳才，公落在後，聞前喧嘩，疑有變，策馬進近，至，大聲言"吾弟也，爾等毋得不法，公得無樣，其负氣類眼如曙星，且好学进士，其嘱爾乎！
HVH_010_0073_000019	兄佳能鄉举耳。
HVH_010_0073_000020	丙戌，如此，先君令教訓其弟，公書心焉。
HVH_010_0073_000021	公有識鑑，謂弟養日弟2年四月二十二日卒，享年三十二。
HVH_010_0073_000022	贤不必贵，仁不必壽，惜哉！
HVH_010_0073_000023	葬本村，地分水星，配阮氏，有殊姿，長號妙娇，東年匡左，亦無所出。
HVH_010_0073_000024	官之女，娶成弩人?
HVH_010_0073_000025	，赐壬辰科进士，原富安按察使。
HVH_010_0073_000026	護理巡撫。
HVH_010_0073_000027	八月十四日卒。
HVH_010_0073_000028	男開復翰林院著作典安，督学致仕，號志庵。
HVH_010_0073_000029	。
