HVH_026_0002_0001	契。
HVH_026_0002_0002	出易繫辭下傳[盤古氏] 盤古猶言盤固也氏者謂其人而名之也地理神經謂盤古人身竜首荊州風土記謂十月十六日為盤古生辰可占冬至陰霽。
HVH_026_0002_0003	元豊九域志謂廣陵有盤古塚述異記謂南海有盤古塚亘三百餘里述異記謂成都有盤古廟今湘鄉有盤古村渾敦 (未昭晰之貌也 / 音沌也)太極 (太極乃自然之理太極為屋極 / 至精至粹至神至妙故曰太極)四象 (太陰太陽少陰少陽又地象 / 水火金木天象日月星辰)變化 (自無而有 / 無日不變)自無而有曰化。
HVH_026_0002_0004	变者化之始，化者变之成。
HVH_026_0002_0005	太極無極也，太極之中至理已具，自然動而生陽，靜而生陰，混沌而有天地。
HVH_026_0002_0006	既有天地而陽復生陰，陰復生陽，則為少陰少陽。
HVH_026_0002_0007	陽生陰，陰生陽，則為太陰太陽。
HVH_026_0002_0008	四象於是乎具矣。
HVH_026_0002_0009	乾道成男，坤道成女，萬物於是乎生三才 (才者能也天能覆 / 地能載人能贊成)天之立君以御世 (生人者天天之為民立君 / 豈苟焉而已哉必有聰 / 明睿智出乎其間者以為億兆之君師)君之立極以統眾 (代天者人君之繼天立極豈輕易而已哉必關焉 / 立法文明教著以立至極之標準)易曰天地之大德曰生 (出繫 / 辭)曰生曰位 (今夫天地確然隤然於上下者以其生物為心 / 雲行雨施宏光大使人物之咸遂其生位乎)中者聖人也任君師之責為人物之主使天下之人咸被其澤首出庶物 (出乾卦 / 彖辭)[天皇氏] (皇大君也氏 / 氏也)天干 (代也)干支 (干支之説母子相生母為甲乙其子為卯卯者茂也言萬物 / 茂也母為丙丁其子為午午者陰陽交而愕布也母為戊己 / 其子為申申者言陰用力申賦萬物也母為庚辛其子為酉酉者萬物之老也 / 母為壬癸其子為子丑言萬物滋於下也。
HVH_026_0002_0010	甲者言萬物剖符甲而生也乙者言 / 萬物生軋之者也丙言陽道之著明也丁言萬物之壯也戊言陰陽彰露而 / 已成固也己言陰陽耦物之將成也庚言陰氣更萬物也辛言萬物之辛苦 / 壬癸)
