HVH_026_0018_0001	十六
HVH_026_0018_0002	伯篇立我蒸民立與粒同言蒸民得粒食者莫非帝德之至
HVH_026_0018_0003	狐媚石勒曰丈夫行事當礌々落々如日月皎然終不效曹孟
HVH_026_0018_0004	德另司馬意欺人孤兒寡婦以取天下也晉武帝紀云狐邪媚之獸如貓黃赤色鼻小尾大老狐能變化以惑人名山記先古之淫婦化為狐說文狐妖獸也死則首丘不忘本也字彙狐性疑犬性獨羊性群處性羶故狥字名有所從離騷心猶豫而狐疑自適而不可光武溺陰麗華之愛高宗溺武昭儀之愛仁宗溺尚夫人之愛哲宗溺劉夫人之愛
HVH_026_0018_0005	迓庭音訝𠵽闢遠也事獄訟謂獄不決而訟之也語出孟子萬章下篇謳歌短聲曰謳長聲曰歌帝舜有舜猶悔也言能信堯道而行之於姚故其姓姚其父有目不能分別善惡故時人謂之瞽
HVH_026_0018_0006	瞍嘗欲殺舜完廩浚井之事出孟子萬章上耕歷山陸菴家曰世謂舜田歷山象為之耕鳥為之耘吾見耕者行端而起徐打土及深獸之形魁者無出於象行必端履必深故曰象耕耘者去莠舉手務疾而畏脱鳥之喙食務疾而畏奪法其畏奪故曰鳥耘
HVH_026_0018_0007	苦窳窳以主反音與噐中空也又音愈瘉也聚小鄉也邑五里也召舜以字曰昭以言曰召出字彙世
HVH_026_0018_0008	濟其美濟成也後代承前代而有而不隕其名檮杌惡獸名古人因以為人之号出孟子離婁集註五弦先制宮商角徵羽五弦後加文武二弦乃七弦也重黎重少昊之孫黎顓頊之後重即羲黎即和也
HVH_026_0018_0009	命延益延演也增也舜都蒲版冀州北風至則凄凉而人温問其地有鹽池夏莭南風起則解鹽人獲其利不費其功詩歌盖在此矣
