HVH_013_0111_0001	官亦徐有助其卑恤也惟御眾以寬有步騭寬雅之風易以致凡動之
HVH_013_0111_0002	休若有功所遭古酷烈之朝而能行平恕之法直以全身視卑何如也
HVH_013_0111_0003	胡氏其周公孔明而並倫然矣南陽太守前有呂乂後有杜祺呂杜之称
HVH_013_0111_0004	正然以官業竟之元成乱世也亦劇整乱王連方止免官冢流宣化之司
HVH_013_0111_0005	固難容於羣枉肆行之日破常佩以自立信以此得鳴名光武或为也
HVH_013_0111_0006	敷化大行卓茂進封褒德視民如子之政得以行猶於良旌表之履
HVH_013_0111_0007	以循吏称良杜法易於拳戱董氏谓之孰信破正下以用甚耿弇
HVH_013_0111_0008	攻祝阿降临淄皆北州功也西界功足相方然郭伋之襲奉已降視耿弇
HVH_013_0111_0009	之拔勍敵本意為勞之然光武所以遣之也憲宗用裴度而平淮蔡武
HVH_013_0111_0010	宗用李德裕而平澤潞此皆唐之雄藩事云相類而元和之績烈方
HVH_013_0111_0011	駢視會昌之承前烈本意為勞之然綱目均之一
