HVH_027_0055_0001	奉抄諸位生日與化日並睿號祭文。
HVH_027_0055_0002	聖母化日。
HVH_027_0055_0003	肆月拾伍日。
HVH_027_0055_0004	四位三江輿公主生日。
HVH_027_0055_0005	正月初伍日。
HVH_027_0055_0006	四位三江化日。
HVH_027_0055_0007	肆月初拾日。
HVH_027_0055_0008	張妹淡娘三江公主化日。
HVH_027_0055_0009	叁月初肆日。
HVH_027_0055_0010	張公第肆男重諱張喬平等泰山神化日。
HVH_027_0055_0011	貳月初貳日聖母睿號聖母莊慈履夫人艷柔烈潔翊保中興莊徽上上神第壹位三江睿號第壹位三江却敵大王翊聖濟治顯應聰明赫濯淵微周流溥博浩幹安義昭忠甄烈昭忠竭節卓偉翊保中興上等神。
HVH_027_0055_0012	第貳位三江睿號第貳位三江威敵大王神采英毅博導碩畫睿謀聖尊深仁厚澤溥濟筵禧博澤弘洽完節效靈默佑妙匡協順卓偉翊保中興上等神第叁位三江睿號
