HVH_007_0015_000001	五2。
HVH_007_0015_000002	兑甲祠别封敕文敕河内省城第二户行庸鼓舞坊上村兑甲奉事白马宣雄大王尊神，護国庇民，稔普靈應肆今丕永。
HVH_007_0015_000003	A石幾神，其相佑，保我黎民，敛哉耿命，缅念神麻，著封為端甫翊保中興尊神，准其奉事。
HVH_007_0015_000004	庶2啟定二年叁月拾捌日。
HVH_007_0015_000005	感應大王尊神，護國庇民，稔着靈應肆今不永敕。
HVH_007_0015_000006	河内有城第二户行庸鼓舞坊上村兑甲奉事靈郎幾神其相佑，保我黎民，钦哉耿命，缅念神麻，着封為澄湛翊保中興尊神，准其奉事。
HVH_007_0015_000007	庶啟定贰年参月拾捌日。
HVH_007_0015_000008	5'#
