HVH_018_0058_0001	朝之錫予者再，作伯而膺九命，圭瓚頒天府之榮，受禄而有四方，穀馬咩王朝之賜。
HVH_018_0058_0002	以上數目門獲大夫之三賜，穀馬之十、以上王季。
HVH_018_0058_0003	于橐于囊后稷無衣無褐公劉弓矢斯張公劉鞉鼓弗勝太王于豆于登公劉取麀取麌太王裹餱糧公劉事以琢玉太王酌之而以匏公劉繩也則縮，以版太王貼佩服之玉璵仰容刀之鞞琫，備干戈於啟行獻衣裳以卒歲通積通倉俾寔俾墍，俾立俾允，柞之度之拔之削之啟之闢之攘之剔之太王穀馬特賜於王朝，圭瓚篚頒於天府王季積倉餱糧，偕橐囊而俱發，干戈弓矢，共戚揚而斯張公劉以上器具門龍旂承祀，鵞鳥享先后稷駢鳥覆后稷私豵獻豜公劉莎鷄尚留殘暑聆牀前之蟋蟀已届深秋鹿有場鸛有垤可飲觶可吹躋堂酌兕兕介壽萬萬取狐狸為公子裘衣羊為君王壽俾儿俾寔俾立執豕牢躋蹹之眾無衣無褐獻貉禦卒歲之寒以上公劉獮事以犬水通多魚契龜築室民定疆理之經走馬遷岐民裏啟行之橐以上太王義士無頒先世之駾馬以上動物徒叩於牧野大雅旱著友兄之慶鳳遂鳴於岐山以上植物麻矇瓜唪后稷棗剝葵烹公劉蘩藜厭豐草后稷烝在栗薪
