HVH_010_0009_000001	阮氏宗譜前誥授光进輔國上將軍。
HVH_010_0009_000002	定勳長阮衣冠之始云：十二月二十七日忌。
HVH_010_0009_000003	公乃正善公之子，顕有封爵，是我心。
HVH_010_0009_000004	六月初十日忌合蒸青池縣姜亭社。
HVH_010_0009_000005	90。
HVH_010_0009_000006	苗外庄而来奉天府。
HVH_010_0009_000007	按：我阮之先未有改。
HVH_010_0009_000008	相传初是清化宋山嘉吾族長支侍郎類庵公著譜書。
HVH_010_0009_000009	始祖正善公配鄧氏一行，號惠安公，八月二十日忌，夫人二月初五日忌。
HVH_010_0009_000010	注云：按此年代久遠，名墓所不得其詳。
HVH_010_0009_000011	始祖吾族八壽昌之東作至。
HVH_010_0009_000012	按朱子家禮，始祖始遷及初有封爵者，為分國朝之嗣德十八年，已四百年余。
HVH_010_0009_000013	福上祖清闲公投輔中，
