HVH_018_0034_0001	后克艱后臣克艱臣德威惟威德明惟明 剛而無虐簡而無
HVH_018_0034_0002	傲罪疑惟輕功疑惟重 夫何爲哉弗可及也 親而尊安
HVH_018_0034_0003	而敬惠而能散憂而順文而静寬而有辨 而難壬人蠻夷率
HVH_018_0034_0004	服無相奪倫神人以和 侯以明之撻以記之瞽奏予鼓之軒予舞之
HVH_018_0034_0005	〇可愛非君可畏非民如天之疇如地之載 允若茲嘉言罔攸伏免
HVH_018_0034_0006	上矣盛德蔑以加 以上成語門
HVH_018_0034_0007	附紀年
HVH_018_0034_0008	三年命臯陶作刑 九年西王母來朝獻白環玉玦
HVH_018_0034_0009	十四年卿雲見命禹代虞事 十七年春入學初用萬
HVH_018_0034_0010	龍岡 藏板
HVH_018_0034_0011	二十五年息慎氏來朝貢弓矢 二十九年會命子義均封
HVH_018_0034_0012	於商 四十二年元都來朝貢寶玉
