HVH_020_0101_0001	先以死殉固無由治於高溪假令因施侑而竟以屍還亦空戚相知於鮑
HVH_020_0101_0002	叔 以上精義門
HVH_020_0101_0003	邢遷如虒衛國忘亡桓子始大成子得政 非吾耦也不可並也
HVH_020_0101_0004	幸若獲宥及於寬政敢辱高位以速官謗 其為陳氏矣代有齊
HVH_020_0101_0005	國乎 大哉居乎美哉室乎 國未可量也國其庶幾乎
HVH_020_0101_0006	疾病而或燠休之厚施而民歌舞之 思義為愈溫利生孽
HVH_020_0101_0007	興甲兵危士臣辟土地朝秦楚 齊子為此先生休矣
HVH_020_0101_0008	生者成行死者成名生而有義死而有名 歲亦無恙民亦無恙
HVH_020_0101_0009	龍岡 藏板
HVH_020_0101_0010	王亦無恙妻之美我妾之美我客之美我
HVH_020_0101_0011	以上成語門
