HVH_002_0012_000001	東岸山巴山，地形尖起，三山正一旁，四形如鳳，曲似珠。
HVH_002_0012_000002	石骨結穴，金星形弯，客峯对味，水城開蘭。
HVH_002_0012_000003	23。
HVH_002_0012_000004	上結一正，下聚酒班，或上或下，業起重。
HVH_002_0012_000005	若認不寔，恐生愚頑横童左然亦出高官，深下五尺，見之。
HVH_002_0012_000006	此地以在并银子一两，立穴東岸花林正一旁，四花林真形，得其餘氣。
HVH_002_0012_000007	山行水行，山止水止。
HVH_002_0012_000008	94。
HVH_002_0012_000009	堂心聚窝，山形顿起，禽形，文官歌形，武士，或安竜腾，或藏鳳文中，科科武列元師，两翼曲池，亦至富貴，深見之。
HVH_002_0012_000010	-。
HVH_002_0012_000011	此地以石立穴，深下四尺，
