HVH_010_0042_000001	女悦夫之長男也。
HVH_010_0042_000002	生男一女三：男名瑞女氏瓊氏。
HVH_010_0042_000003	润氏琚。
HVH_010_0042_000004	壬寅年二月十三日，己牌生，嫁維先阮同典，乃探花顕泰大，配元男。
HVH_010_0042_000005	42男。
HVH_010_0042_000006	第五女氏荣氏筍公吃公距公赠，諱畫字有。
HVH_010_0042_000007	壬子年二月二十五日，子牌生，配元阮氏欲，光烈人，生三女：民愈氏。
HVH_010_0042_000008	由氏練配，配元男。
HVH_010_0042_000009	昭文馆阮贵公，字福善，有倫公房男一。
