HVH_010_0007_000001	案外耸何當象星镇口，知是侯。
HVH_010_0007_000002	王文登科甲屏引脉八穴為至贵，武封疆，男女並贵，世代常昌。
HVH_010_0007_000003	嫌中堂洞财不盈箱理按發心地局，相傳陈朝寺名烧香理，與北子X，即盛立家社朝風水李意蹅認太祖龍是濃山落下塢門，起西大阜，東为社稷坛，西為布盖大王祠峽，過社稷坛寺過我中寺村，分野八芳烈，至埭塔，起大阜，禄存星落下，起土星，方形出大阜。
HVH_010_0007_000004	又山法全書言幹龍而無貴局，只發丁财長遠。
HVH_010_0007_000005	所謂请席御屏。
HVH_010_0007_000006	地理家以土星落下，結局最貴。
HVH_010_0007_000007	支龍而有貴局，發福貴於幹龍。
HVH_010_0007_000008	又支龍只收
