HVH_010_0024_000001	大王公傅國玄孫理恭譯奉李黎德隆六年甲戌三月二十八日生。
HVH_010_0024_000002	时左骨串起，方幼，乳母浴之西湖，適有北客客天庭高。
HVH_010_0024_000003	24，飲手揖日。
HVH_010_0024_000004	是的賢能，汉之良，唐之徵矣。
HVH_010_0024_000005	早晚必見扶王手段。
HVH_010_0024_000006	年十五，受業于本縣知縣阮東山，甫里人事未遑，令就彰德陳長史門請益，因歸閉戶。
HVH_010_0024_000007	皖及二年，驰名場屋先生。
HVH_010_0024_000008	以公攻書三餘，自家研究，年二十四。
HVH_010_0024_000009	盛德五年丁酉。
HVH_010_0024_000010	1，有東床之送，以其女尊人妻之，不論财年科，應考四次，並優八试，领解元题督范公二十七丁尊慈服関，以文會友，四方名士不
