HVH_032_0076_0001	諸君皆是也於是在羣瞽乃互相語曰得象矣似屋柱者
HVH_032_0076_0002	其尾也似墻壁者其脊也似石鼓者其腹也似石臼與山嶺者其頭也似癰者
HVH_032_0076_0003	其耳也似笋之出地其蛇之赴壑者其牙及鼻也得象矣世有不知象者吾單睇
HVH_032_0076_0004	以告之無隱也此由西書譯出記者謂是西域國事
HVH_032_0076_0005	評者曰語有之世間莫大於象夫人而知之矣而有不知之者目力不足也
HVH_032_0076_0006	皃原替之徒蒙可為噴飯天下事非真知確見而形以意揣度之皆耳食也
HVH_032_0076_0007	抑此觀之其何以異於是哉雖紛紛羣瞽尚有見於暗中摸索乃能道其形似
HVH_032_0076_0008	雖目下无牛而管中已窺得一斑豹於房未嘗不是也世間多雙眸烱々者
HVH_032_0076_0009	其可以左右周到而於事物之理見此失彼得一漏萬竟似茫然無所見者
