HVH_007_0013_000001	检着灵衣，员蒙须给敕。
HVH_007_0013_000002	白马佑玉尊祥原赠。
HVH_007_0013_000003	揭威禦侮，保障健顺和柔上等神。
HVH_007_0013_000004	護国庇民赠教，準许奉予。
HVH_007_0013_000005	肆今不府，联命缅会神麻，可加揭威禦传，保障健顺和票会光上等神，仍3华靠。
HVH_007_0013_000006	昌縣鼓舞坊上村，依舊奉事，神其相佑，保我茶民饮乱嗣。
HVH_007_0013_000007	#年拾壹月，式旅隆日暑，灵欢师业须绘敕靈即尊神，原赠妙化協堂，助顺佑正顯学上神。
HVH_007_0013_000008	護國衣民檢財教，準许奉事。
HVH_007_0013_000009	肆今不育，耿命缅念神麻可加增妙化協灵，助顺佑飞顯学宏洽上神仍准昌縣鼓坊上村，依舊举事，神其相佑，保我黎民领武。
HVH_007_0013_000010	嗣德叁年抗壹月，或佳日。
