HVH_009_0039_000001	乾坤自成生德，金沉徒誇應帝勇，拔狱堪天。
HVH_009_0039_000002	楚王雄却去人門朋。
HVH_009_0039_000003	扇功夏暑詩（鄂届朱明抄悦万来爱暑炎天清燃播，砌红添火，昼静唐宫披昼扇，照槐庭绿吐煙凉。
HVH_009_0039_000004	生舜歇贡熟弦闲腸時。
HVH_009_0039_000005	若今欣靓夏日肉情诗赖上新年誦有年物，都从養长天。
HVH_009_0039_000006	水潦荷沼微生浪。
HVH_009_0039_000007	风细，槐庭尚温煌。
HVH_009_0039_000008	雨晴了物鲜。
HVH_009_0039_000009	研雨清快。
HVH_009_0039_000010	観時舜殿歌方刑解愠邪民自乐，耕田上瑞，應知大有年。
HVH_009_0039_000011	熟风詩朱明庙是乾玄機。
HVH_009_0039_000012	正是熟风长物时收总南興。
HVH_009_0039_000013	通寻黄桃清拂義，菏香郁涼生欲阁，日运弦上，赛歌舜帝时。
