HVH_008_0006_000001	1景五年甲子仲秋'白雲庵待集全序）夫心所；谓志而诗所言。
HVH_008_0006_000002	志有志，道务专有志，功名专有志。
HVH_008_0006_000003	隐逸友了序，国服慎托尽或美；腾或侈竹乡秀。
HVH_008_0006_000004	即景而寓意。
HVH_008_0006_000005	余幼承庭到長仕版晚志逸山水自娱大待待商疾未医能能孙君子幸正爱。
HVH_008_0006_000006	或即予而自述各志诗一子，首，编集成麦以向雲。
HVH_008_0006_000007	自各志独送关固不寓十二首，借響聚声润古小留陰客夢凉。
HVH_008_0006_000008	剩喜文天未丧，至今幸拜秋陽半依村市半人街中有他园。
HVH_008_0006_000009	一强庵。
HVH_008_0006_000010	長间春不老，江山昼筆生香。
HVH_008_0006_000011	清流亿江临日向斜。
HVH_008_0006_000012	秉风把酒，咱僧歌。
HVH_008_0006_000013	半天凉。
HVH_008_0006_000014	送清凡好两岸精添翻樹多刮野晴佛尝菊醉，老眼易生花。
HVH_008_0006_000015	何辰再湖唐卢治依首乾坤一秦和孟浮竹色，三春醇衣意，荷花九夏涼。
HVH_008_0006_000016	款乳闲阳坎流艮止行散数绿菲雪溪修泉石，清出草樹香。
HVH_008_0006_000017	一握老天留户牌。
HVH_008_0006_000018	千章古樹蔭池塘，柴门半掩日远远。
HVH_008_0006_000019	正是睡辰此劳形会案；中遣承有琴棋莺花秋曲待干首。
HVH_008_0006_000020	风月相江钧一系剩喜奴园松菊在，枣节老相期。
HVH_008_0006_000021	功名自信多身误肉食维生为国谋畢竞欢求吾楽废知吾先不索一虚舟。
HVH_008_0006_000022	聊向田园竟勝途。
HVH_008_0006_000023	载修庭前气，裕客洗花溪有清流。
HVH_008_0006_000024	住冠动静自知基有草卷。
HVH_008_0006_000025	顾谓釣考權寄言，紫调红楼密莫把星歌醒。
HVH_008_0006_000026	醉眼夏得村溪地一厘。
HVH_008_0006_000027	词居吾多。
HVH_008_0006_000028	吾天来起，雲超履，夜泛漁肌。
HVH_008_0006_000029	月满船.e。
