HVH_024_0042_0001	奉鑼南策府青林縣篔相奉祀前朝科宦先賢以求昔傳千萬年不泯也
HVH_024_0042_0002	陳朝 丙辰科狀元 加封大王
HVH_024_0042_0003	陳朝 丙寅科狀元
HVH_024_0042_0004	黎朝 丁未科狀元 仕至尚書
HVH_024_0042_0005	黎朝 癸酉科三元狀元 仕至尚書提調
HVH_024_0042_0006	陳國初先生 江下社
HVH_024_0042_0007	白公遼先生 美溪社
HVH_024_0042_0008	陳崇穎先生 桐溪社
HVH_024_0042_0009	武公賜先生 曼汭社
HVH_024_0042_0010	吳公焌 上答社
HVH_024_0042_0011	黎朝 庚戌科榜眼 仕至尚書加封澤美大王
HVH_024_0042_0012	黎朝 癸酉科探花 仕至大学士
HVH_024_0042_0013	黎公彪 樂業社
HVH_024_0042_0014	陳亦佞 安道社
HVH_024_0042_0015	鄧時措 安樂社
HVH_024_0042_0016	丁公瀅 安逸社
HVH_024_0042_0017	范公森 仁里社
HVH_024_0042_0018	阮公勃 賴下社
HVH_024_0042_0019	阮德貞 安界社
HVH_024_0042_0020	莫朝 癸丑科會元探花 仕至侍郎
HVH_024_0042_0021	莫朝 己未科三元探花 仕至翰林院侍制
HVH_024_0042_0022	黎朝 丙辰科探花 仕至大参士
HVH_024_0042_0023	莫朝 辛丑科榜眼 仕至参政使
HVH_024_0042_0024	莫朝 辛未科庭元榜眼 仕至寺卿
HVH_024_0042_0025	黎朝 癸未科榜眼 仕至尚書
HVH_024_0042_0026	陳朝礼部尚書賜號隠浣詮 勅下府 八大行龍刻公 内大行謚頼公 安住社 涇陽社
HVH_024_0042_0027	監察御史阮公 播溪社
HVH_024_0042_0028	肅安縣知縣 洞山社
