HVH_026_0060_0001	矣。
HVH_026_0060_0002	諸葛亮与四人為密友而居一帶高崗子卧竜崗備訪亮過往平平曰此止出諸人皆意出事易梓定將軍欲以此為辭旋至施補叙坤必不如易為使費必為互盖鼓之而在理意安放廖之命之而在人不可知而強之德操 司馬徽龐德公 按龐德公居峴山之南刘表效延請不属耒且就修之曰夫保全一身嘉若保全天下乎龐公笑曰鴻鵠巢于高林之上朝而游而時而樓豈擧犬子深市之下各得其所宿夫趨舍行止人之第意也者言其棲宿寓它天下非偶也因釋耕隆中劉先主去諸而問言先生若居畝畝不屈官極何以遺子孫公曰世人皆遺之以危我独遗之以安雖所遺不同未嘗無所遗也盖攜其妻子登鹿門山魯縞 縑布之精白也曲阜之俗善作尤為精白故曰魯縞蒙衝 戰船艫 赤壁之日蒙衝戰 設策周瑜縱火一夜東風十艘油葦風伯施威祝融効委玄喬奔 當新野走樊口路點桑陽走及口子谷奔亡之地颶風 颶音具又四方之風當以六五月間發裴淵嶺表志曰南海秋夏間有暈如紅日者謂之颶風影必有颶風未至晨鷄犬爲之驚易曰天之所助者 順也。
HVH_026_0060_0003	台易繫辭釋大有上九爻義權以妹妻備 此盖周瑜之計以孫夫人為委餌以鈞刘備然後計或蛟龍 有鱗曰蛟龍無翼曰應龍有角曰虬龍無角曰螭春分而登天秋分而入淵奮威 孫權従弟孫瑜治中别駕 漢制治中従刺史行别駕車故曰别駕孔子之言仁也重矣 於孟武伯之問子路冉有公西赤則曰不知其仁而不許其仁於子張之問令尹子文則只許其忠止許其清去公冶於子路之問管仲則曰如其仁如其仁出憲問篇荀彧擧能賢用 杜畿智勇則擧以爲河東守張既若善論則擧以爲尚書令張魯 魯據東川以鬼道惑眾眾曰鬼卒曰祭酒曰治頭大抵與黃巾相類似
