HVH_021_0036_0001	湯。
HVH_021_0036_0002	我思肥泉、舊有寒泉、胡爲泥中、毖彼泉水、河水濔濔、淇水湯湯平陳與宋、思須與漕乘宛乘垣、如山如河、出宿于干、飲餞于言、淇水在左、泉源在右、望楚與堂、景山與京、淇則有岸、隰則有畔、湜其沚、括其流、浚郊浚都、淇梁淇側、沫北沫鄉。
HVH_021_0036_0003	俟我乎城隅、送我乎淇上、在澗在阿、我筥我笥、为妻迨未泮其冰、亦冱、無監于水、麥茂于野、葛誕于邱、明大命于沫邦、嗣股肱于沫土、取有閭之土、蓋共勝之民、中林失馬熒澤喪師阿邱以采其蝱、荒邱而誕其葛卜大旱則有龍岡藏板事山川以追師、則兆如山陵、戴公廬漕、定公反戚文公遷楚衛成公遷帝邱、宣公作新臺于河上、出公爲靈臺于蒍圃、懼狄而城楚邱、侵鄭以伐綿訾、熒澤戰而減于狄、淇澳賦以享夫晉晉甸爲匡戚之田、爵與禘禋之地、以上地輿門干支抑戒而思良、告賓、冠而頌士林、愛子而義方、不教嬖寵、足乱其家、受甲而使戰、不能軍令、不行於國、納獻公謀先成於辛卯、從靈公路及遇天子申、獻公出亡七、八以甲午、靈公在外八、以丁巳、丙午則滅夫邢未則盟于魯、報郤、郭午之仇、奪司寇亥之政、以上干支門
