HVH_028_0029_0001	十二世
HVH_028_0029_0002	考周文成 里長
HVH_028_0029_0003	妣馮氏檜
HVH_028_0029_0004	妣陳氏寸
HVH_028_0029_0005	阮氏謙
HVH_028_0029_0006	十三世
HVH_028_0029_0007	周文在
HVH_028_0029_0008	生
HVH_028_0029_0009	周文在 周氏
HVH_028_0029_0010	周文尊
HVH_028_0029_0011	生
HVH_028_0029_0012	周文慈 周氏治
HVH_028_0029_0013	周氏志 周氏彗
HVH_028_0029_0014	周氏任 周氏撿
