HVH_010_0011_000001	中二代清闲公房，配阮氏，號慈惠安人，享性女二頁，節純美。
HVH_010_0011_000002	三月十三日忌，生子六男四。
HVH_010_0011_000003	正議福莲福真。
HVH_010_0011_000004	1接考姚並合蒸青池芳烈之原发心低下盡處令。
HVH_010_0011_000005	11之雲仍貴顯善风水者，咸目於斯墓云"接此福地，吾先曾行黄甲侍郎昌派侯恭修世譜，見著如此，今從之。
HVH_010_0011_000006	+。
