HVH_007_0008_000001	E万上次逸增于白馬号；上自永寿三年敕封，改称宣雄佑正威清，字陽正和。
HVH_007_0008_000002	永盛。
HVH_007_0008_000003	永度。
HVH_007_0008_000004	景興服统敕書，並因永壽封号。
HVH_007_0008_000005	今辰祝8册，奉遵新号云;{天4美1。
