HVH_007_0009_000001	靈郎大王事跡史記：李太尊幸潭湖巴，即今西，見女子漂帛，悦而召之，歸而有娠。
HVH_007_0009_000002	十四月，誕生一男，八歲，未触言語。
HVH_007_0009_000003	时值亢早，忽語其鄉長"日"可將我去見皇父郷長，遂共之，偕赴闕進侍。
HVH_007_0009_000004	帝乃召其母问故母，具以寔對。
HVH_007_0009_000005	帝留宫中。
HVH_007_0009_000006	頃之，出瘦三月，不收，黑光，烱然，医治不效。
HVH_007_0009_000007	帝日"倘非我子，當從所之，何用苦為也？
HVH_007_0009_000008	曰"臣非父皇子，幸托圣体，有年，于今當去矣。
HVH_007_0009_000009	但於去废，乞立庙宇居之，上許焉。
HVH_007_0009_000010	乃请屏去左右，下惟膜。
HVH_007_0009_000011	約一更許，化成黑蛟。
HVH_007_0009_000012	意一躯来风至靈郎湖橋有树下尚卧，酒臾入水而迦。
HVH_007_0009_000013	帝命立庙祀之，因以靈郎為諱。
HVH_007_0009_000014	其後屢有靈應，歷朝具有褒赠。
