HVH_028_0035_0001	次支周永興次孫分支以下周文安次子分支以下
HVH_028_0035_0002	三世 起祖考周文等
HVH_028_0035_0003	妣不知姓氏
HVH_028_0035_0004	生周名科周名擇周名時周名声
HVH_028_0035_0005	瑩塏奇処 十月初二日
HVH_028_0035_0006	瑩塏奇処 十二月初一日
HVH_028_0035_0007	四世 世二
HVH_028_0035_0008	考周名科
HVH_028_0035_0009	妣𠵴氏第
HVH_028_0035_0010	生周名三
HVH_028_0035_0011	瑩塏奇処 六月初五日
HVH_028_0035_0012	瑩塏𡎝処 十月初四日
HVH_028_0035_0013	五世 世三
HVH_028_0035_0014	考周名三
HVH_028_0035_0015	妣馮氏請
HVH_028_0035_0016	生周名梂周名丑周名雇
HVH_028_0035_0017	瑩塏𡎝処 四月初九日
HVH_028_0035_0018	瑩嗎前処 十二月廿四日
HVH_028_0035_0019	二月二十四日
HVH_028_0035_0020	六世 世四
HVH_028_0035_0021	考周名丑
HVH_028_0035_0022	妣范氏坎
HVH_028_0035_0023	生周文碧
HVH_028_0035_0024	瑩塏奇処 正月二十五日
HVH_028_0035_0025	瑩塏密処 正月二十四日
HVH_028_0035_0026	瑩塏密処 七月二十九日
HVH_028_0035_0027	七世 世五
HVH_028_0035_0028	考周文碧
HVH_028_0035_0029	妣馮氏請
HVH_028_0035_0030	生周伯籥周仲𤽕周季威生員桊
HVH_028_0035_0031	瑩塏密処 十月二十日
HVH_028_0035_0032	瑩厨香処 七月二十六日
HVH_028_0035_0033	八世 世六
HVH_028_0035_0034	考周伯籥
HVH_028_0035_0035	妣黎氏混
HVH_028_0035_0036	生周伯勿周文校周文錐
HVH_028_0035_0037	瑩凍丐処 三月初九日
HVH_028_0035_0038	瑩塏祭処 十月初六日
HVH_028_0035_0039	九世 世七
HVH_028_0035_0040	考周文役
HVH_028_0035_0041	妣范氏本
HVH_028_0035_0042	瑩塏祭処 十月二十二日
HVH_028_0035_0043	九世 世七
HVH_028_0035_0044	周文錐
