HVH_031_0032_0001	何謂敬重尊長家之父兄、國之君長。
HVH_031_0032_0002	與凡年高德高位高識高者、皆當加意奉侍。
HVH_031_0032_0003	在家而奉侍父母、使深愛婉容、柔聲下氣、習以成性、便是和氣格 天之本。
HVH_031_0032_0004	出而事君行一事毋謂君不知而自恣也、刑一人毋謂君不見而作威也、事君如天古人格論、此等處最是關陰德、試看忠孝之家子孫未有不綿遠而昌盛者、切須慎之。
HVH_031_0032_0005	何謂與人為善、昔舜在河濱、見漁者皆爭取深潭厚澤、而老弱則漁於急流淺灘之中、惻然哀之往而漁焉、爭者皆匿其過而不談、見有讓者、則輸揚而取法功過格校編 諭引 三十之、期年皆以深潭厚澤相讓矣、夫以舜之明哲、豈不能出一言教眾人哉、乃不以言教而以身轉之、此良工苦心也、吾輩處盛世、勿以己之長而蓋人、勿以己之善而形人、勿以己之多能而困人、收斂才智、若無若虛、見人過失、且涵容而掩覆之、一則令其可改、一則令其有所顧忌而不敢縱、見人有微長可取、小善可錄、翻然舍己而從之、且為艷稱而廣述之、凡日用間、發一言行一事、全不為自身起念、全是為物立則、此大人天下為公之度也。
HVH_031_0032_0006	何謂愛敬存心、君子與小人、就形迹
