HVH_016_0039_0001	之態第。
HVH_016_0039_0002	君召不俟駕、驛路平、子返必有方、線衣密、行且行矣、知為知，用能副乎此名，以不負其所奉，將分手，以何言、勉事君以白頭、參苓有味、姜桂何幸、移孝為忠可也。
HVH_016_0039_0003	迎室人遠迓河別後之思子往我留雲樹依人之想豐書以餞賀藍溪秀才張甘直預納鄉例人生期百歲吾子五十餘。
HVH_016_0039_0004	莫患連年病，元丹在讀書天強而壽弱賦賢自生初，達理饒歸寄。
HVH_016_0039_0005	片情念故詞臘月廿五日寄曲翁書徘徊歲暮矣終只五日間。
HVH_016_0039_0006	吾輩各添歲，誰知要放寬。
HVH_016_0039_0007	勸君強把却疾擧酒復，加餐湏、名利者世路幾人閑賀曲翁親母生日之慶六十雖喫特愛日，地同意，春闌花未徹。
HVH_016_0039_0008	醺，葡萄酒濃澆，萬年春桂子坪慶有詩，童且喜長康健，兒孫慶不窮遊扶寧登嵱嵸偶成何年造設此奇嵬，試為登臨看宇寰。
HVH_016_0039_0009	絕嶺悠々神對與僊眉目對江山
