HVH_004_0050_000001	有免，自帰宜府訟其所使者乃俞手下雅出斬之。
HVH_004_0050_000002	山西王愚誠不足责，吾特恶使者，尔敢欺侮我，吾為尔結菓。
HVH_004_0050_000003	尔！
HVH_004_0050_000004	纵聞整其説客，益深親信。
HVH_004_0050_000005	越。
HVH_004_0050_000006	丙午春末，顺化大将造郡公，使其属校翊石际陽领伯阮学如八。
HVH_004_0050_000007	西山言事，学如共50。
HVH_004_0050_000008	整素相得。
HVH_004_0050_000009	整言顺化可取之状，且言清又及四镇大饥，民情愁苦，兵共民相失，势不能久；能取顺化，则天下不足富春。
HVH_004_0050_000010	西山王從之。
HVH_004_0050_000011	角其弟上公節制水步，请单武文任為左平。
HVH_004_0050_000012	整由是央反國之计。
HVH_004_0050_000013	八告西山王陈顺化機宜，請扒兵将直取軍都督，使整為右軍，並咱上公号令，以四月二十八日出師，望富春城，進获都説。
HVH_004_0050_000014	顺化自甲午年帰我疆土，朝廷以富春为拯边重镇之地，留屯兵三千，更戎三兵萬，置大将。
HVH_004_0050_000015	副将各一员，脊视副视各一员，目隘雲以内設屯，籍其民以益兵，其人心控制。
HVH_004_0050_000016	管辖無不周备。
HVH_004_0050_000017	大将造郡公，原来是票缓的，徒以口田以益粮，通贸易之貨，幹山海之利，以科举，收人才，以各实收舌御民，而临衡制变，非其所長。
HVH_004_0050_000018	先是，脊视阮会宾每言"西山可总取為造都所，抑令宾言"朝日造郡，以怯懦誤謀顺化。
HVH_004_0050_000019	。
HVH_004_0050_000020	?
HVH_004_0050_000021	？
