HVH_012_0041_0001	吾奉太上老君急々如律令
HVH_012_0041_0002	又雷火針新方乃以藥爲針者其法更活
HVH_012_0041_0003	白芷 獨活 川芎（先去皮用） 丁香 羌活
HVH_012_0041_0004	雄黃 乳香 沒藥 杜仲 桂支各一
HVH_012_0041_0005	硫黃六分 射香五分（不可多） 蝨母艾三両（三月）
HVH_012_0041_0006	右得爲粗末勻和取艾鋪底糝藥於
HVH_012_0041_0007	上用上好皮紙捲筒先須用線絆約
HVH_012_0041_0008	兩頭防其伸長然後加紙再桿務令
HVH_012_0041_0009	極實粗如鷄子尖樣是其度也
HVH_012_0041_0010	疔癰克治痔瘡搽上卽愈疔瘡亦妙
HVH_012_0041_0011	松香二両 水銀 硫黃 枯礬各二
HVH_012_0041_0012	樟腦各二 蔴油 研如泥自擦之神效
HVH_012_0041_0013	截烏掌痕四方
HVH_012_0041_0014	猪胰一具去油匀涇水花依々
HVH_012_0041_0015	八陣路草
