HVH_010_0083_000001	傷寒病稍重，調治未得十分平復。
HVH_010_0083_000002	惟聞命之下，心不遑安，强疾就道，而病後益重，聽筋力，甚覺哀颓风暑+道路，亦不敢辞。
HVH_010_0083_000003	正欲親向闕庭，叩谢皇恩，亲伸臣子至情，然後请休，不圖詢及，留之微覆八片刻，再奉交出。
HVH_010_0083_000004	殊批占法亦多，仍罕效驗。
HVH_010_0083_000005	或因多事未能專精而然柳原法久廢，秘其传存者梗耳，故不中欺。
HVH_010_0083_000006	予不知以何法为信爾於签果已常验素信否。
HVH_010_0083_000007	占法在签已詳了爾，從此占断而已。
HVH_010_0083_000008	或见於他書，别有所蕴。
HVH_010_0083_000009	至占断能。
HVH_010_0083_000010	23寓草进，勿可少隐。
HVH_010_0083_000011	六月二十三日覆臣窃惟第卜签之屡中，悉以告予，亦是一助。
HVH_010_0083_000012	爾已哀老，尚何惜哉！
HVH_010_0083_000013	准其回道"古聖以古县所以开物間成，務定天下，業加見科。
HVH_010_0083_000014	其来余太寻断天下之疑，其来尚矣。
HVH_010_0083_000015	虞書鬼神，其依龟筮協從【周書曰：有大事，大疑謀及卜是也。
HVH_010_0083_000016	古者龟卜與著筮並行。
HVH_010_0083_000017	其後句倭成欺龟法，遂失其傳。
HVH_010_0083_000018	筮法獨行於世。
HVH_010_0083_000019	宋朱子日易為卜筮之書数而理在其中。
HVH_010_0083_000020	又謂某之说易異於前輩。
HVH_010_0083_000021	推此則朱子蓋篤信於信。
HVH_010_0083_000022	朱说自家遇事占，亦或為人占經五十年来，事應之易筮矣。
HVH_010_0083_000023	臣於此道初無書傳，亦無異書。
HVH_010_0083_000024	懐抱止於紙上，尊来止於易签上，推測出間有驗不驗，就中驗之，分数較多，大要吉山之兆。
HVH_010_0083_000025	易中自是安排未有辞吉而事凶，辞凶而事吉者，此臣屡占之一驗也。
HVH_010_0083_000026	伏遇或有問焉，便及於易卦成之後，只據文王周公之爻辞。
HVH_010_0083_000027	皇上主敬立誠事来占諸法，雖亦小驗，占遠，恐泥置而弗用可也。
HVH_010_0083_000028	此则持以吉悔吝易之情，见乎辞，殆足以成天下之亹。
HVH_010_0083_000029	又他如
