HVH_010_0036_000001	生女二院瑟。
HVH_010_0036_000002	配男阮氏，諱艷男。
HVH_010_0036_000003	冕女並，享龄五十二歲。
HVH_010_0036_000004	十月二十六日忌。
HVH_010_0036_000005	生男一女。
HVH_010_0036_000006	二女，妮女合男該，又娶福右仙美人，生男一女。
HVH_010_0036_000007	一36。
HVH_010_0036_000008	生四女。
HVH_010_0036_000009	公乃参政公之弟。
HVH_010_0036_000010	四男諱伸，字佺。
HVH_010_0036_000011	戊寅年生，配男阮氏蕴，享龄三十一歲。
HVH_010_0036_000012	八月二十三日忌。
HVH_010_0036_000013	生男女一男莹勤訓女。
HVH_010_0036_000014	練Q米公房女米號慈恩。
HVH_010_0036_000015	女由號慈善公，乃米公之長男，祖字純直，媚公房A。
