HVH_023_0064_0001	以上雜俎門射干支著丁示猛，矢竊其三，樽甲衿雄，札穿其七。
HVH_023_0064_0002	以上干支門各釋已志，獨著寅某卦名比禮以樂，旅進旅退，耦已而旅，揖遜終而覓德以上卦名門俗尚貴華，興隆詵豐，始而升堂，法而比方位矢括東序，弓取東階以上方位門呈射西序，送士東堂，西楹奉觶，北面奠豐麗廔数目九節五正，七節三正，五節一正，汰輪而寸，八少三，樽甲而札穿其七。
HVH_023_0064_0003	雛挾以四，耦不具三，獻酬洗象，觚三奏樂，歌鹿鳴之三，八算未告以凭五物，難膺其選，麋獻其一，鵙貫以雙，序貞以三，爵獻以一，懸逢矢三，錫彤弓之百，樹之而貙也四，粹之糊而疊七雙以上数目門采色植著其赤，弓錫以赪以上采色門器具金和玉節，春版秋戈玉加楅，齊三壺以上器具門楅以釋皮，可貫，豐以設，觶可揚，加執魯邦之動物侯有狸步，旌以麛綏華豹之射，修以惡子，魚之射，挾以雙，高駢之射，送
