HVH_002_0018_000001	武江大武正一旁二福，中R。
HVH_002_0018_000002	大武降脉，形曲蟠蛇，山有丈韩，水有沉浮。
HVH_002_0018_000003	35。
HVH_002_0018_000004	虎色意面，水浸雀頭，竜尘数岸，虎带连珠，兄弟俱美，名位特優。
HVH_002_0018_000005	近临大小，世出北丘，贵绝祀，勿向他求。
HVH_002_0018_000006	武江大正一二大捷奇形，山藏旺氣，前门廣開，校室頓起，龍虎雄强，气脉兼場。
HVH_002_0018_000007	36居内認外形，吊曲正，只忌逼童，恐嫌反水。
HVH_002_0018_000008	若認得真，多出良士。
HVH_002_0018_000009	若認不直，常生僭偽。
