HVH_027_0004_0001	生下員孫公合墓在呂村木茶處。
HVH_027_0004_0002	先（世祖、等煒）祖考員孫秀林局朱公字三綱號福和府君。
HVH_027_0004_0003	拾月初陸日忌。
HVH_027_0004_0004	先祖妣員孫秀林局朱公正室號慈憙夫人。
HVH_027_0004_0005	伍月初拾日忌。
HVH_027_0004_0006	合墓在本村金茶處。
HVH_027_0004_0007	生下三品公先（世祖、等任）祖考朱公字三品號福輝府君。
HVH_027_0004_0008	拾月拾捌日忌。
HVH_027_0004_0009	先祖妣朱公正室號慈閔孺人。
HVH_027_0004_0010	伍月拾柒日忌。
HVH_027_0004_0011	先祖妣朱公側室華氏號慈安孺人。
HVH_027_0004_0012	正月參拾日忌。
HVH_027_0004_0013	山南平民人。
HVH_027_0004_0014	合墓在蕉山五指處。
