sentence_id	sentence
HVH_007_000001	白马大王事跡接越甸幽靈集録日廣利大王本竜肚旺氣也时李唐朝121高王聯阔建羅城方畢一日脯时连见至城東门忽然雲霧大作突见五色氣地勇出星斗光奪目中有色衣仙人冠服霞装驾黄精虬手執金间随光气昇郁其气宛弱蟠旋
HVH_007_000002	上三下已向還汉高王马異意谓思铁中设坛祈祷其夜後入梦语多王日顾公莫疑原某冰妖气也是竟旺旺气君幸启新開府都端隍嘉公能歡喜现'致外鬼现不祥也或谓立祠设彼形像以千斤銅鐵为其公必能干业王者改言讫民然高王麻醒
HVH_007_000003	款日嘉不能为政像勝了高王從计既具忽杰瓦雨轟烈地拽出銅鐵雜碎成座高王驚悲口吾知其歸比美既果然後时更民顽村人尚鬼不别敬主如社村礼神一体供奉巡李太宗朝漫都于兹军民临宜商贾会集开東方贸易其发迫于神祠谓具
HVH_007_000004	左神不可移徙乃真樱棟平連長街向分一楹市神居一夜神乃顯灵暴起北风揚沙屋长街皆座倒独1y神祠福宛然如故大宗異究同神所由有其事奏如茶上同喜日即主少神也教具礼享奠识以为育失祈被废巴敕赐封为廣利王陈初朝
HVH_007_000005	東市凡三度遭火暴风还及皆为煨烬惟王居初毫不失天下牵皆停焉主兴元年教封祐顺王回年加成清二字共隆元年又加字應赫濯二字进大秩以其有陰相；
HVH_007_000006	功也上相太师凍光啟樂道先生预庙门诗云昔闻人道大王买今方别鬼帆马火聚三疆不日烧祠菜手黄輪及风座一降扇所倾指择题三千房弹壓污魔为承兵顾伏心威推北教饮今寰宇晏然语保寧公主事际昔李仁尊朝真登州牧夫人李
HVH_007_000007	公生译保寧生来仙彩玉贺水资是乃奉乾王長子聖尊鞠于宫中及長封公主適真登州牧黎氏卒国糯居出宗为尼至县年华有二神尊朝间具有褒期教封封为尼師无後民村亢可祀事焚祷屡著灵应王黎V一恭缘竜肚福神事定唐辰
HVH_007_000008	为安3治府府仍改昇竜壽昌即为永壽河口古河口坊黎朝中间始改今李陈亚為都城黎朝為都城奉天府嘉隆初为北城依德河號唐朝懿尊皇帝咸通七年都護高并增築府治界城拱其東北蘇瀝由城；
HVH_007_000009	东迴北县北向放于西南濃山峙县中A为正山巅童呼吸山通氣高氏地岭称欲炎郊天都会有神人冠服驾虬秉间下盘恒良久散驿#以法一日弄城东门遥望河西岸蘇瀝江口见雲氣中之夜梦神人自称意肚精地灵長喜君新乐城府故菜相
HVH_007_000010	见雖何傷研造金銀鐵三符设坛呪诵之随有雷雨；
HVH_007_000011	变三符童肚或称意度粉碎出地上驿噗其灵異仍即的见地立阀祝初称童肚李朝太祖皇帝顺天元年自华阁徙都于南王坂址大兴城黄竞见于御舟及其城曰昇竜学神再拜稽首称贺多上日汝能保百火对日顾债载灵長何言百火上嘉梦竟
HVH_007_000012	差家致祭以都城厦築屡傾禧之城逐不地從中出远城一周四蹄踢蹦随地震痕4貴明祠有事致祭奉天府尹及東校訓導壽昌縣尉判主右畔灵郎祠次高山祠有事致祭奉天少尹及兑校训尊广多縣尉判主为昇意四大望礼广左畔白马祠次
HVH_007_000013	一日北风暴起商厘尽倾而神居宛然如故太尊異之命拓神祠大尊皇帝通瑞乾符间都市人烟凑集商贾屋舍#神子连地進封廣利王首会盟铜鼓山神灵衣服感保佑大王证江3烈惟神居兴损陳太师光啟歌祠诗云神保國灵应定邦大王业为
HVH_007_000014	盟主陈朝初興東市摭怪二錄待见幽灵仁尊皇帝童興天度失火处烧酷渡吸重興四加封威清二字英尊興隆二十一年加封鼓二字後鼓都城坊曲失火掌鼓禱神随有反风减火都人習以为常孚私進秩大王祠有大一黎朝大祖皇帝顺興元年
HVH_007_000015	度利改为廣赖避国也唐朝累封赖佑止威清学感宣难英界廣运明秀灵弘列明惠莊肃扶园康民冲化玄功莊穆衰刚安仁光啟成耀德普惠宏休彰福英灵刚正助美扶运公明神断独智白马大王併为一字时制各一字休一字彰福一字大界二
HVH_007_000016	字敬尊顺皇帝弘定四年二月初六日减出师大二字每字各为一字黎朝以渡加封乃宏5捷加封妙感佑厚二字弘定十年二月初五日为国家恢復加封輔国揚二字弘定十四年九月二十日为默扶题六加封彰美纯信留思集福三字永六年十二
HVH_007_000017	月二十一日为默扶恢浚加封扶补二神尊渊皇帝永二年月二子日为國宗恢车書混园字永祚八年三月十四日游莫草技降园有功加时夏暑菜果二三月二十七日为灵佑国加封肇谋佐辟永休三字陽和五年八月字汾隆四年三月二十九日为
HVH_007_000018	建立世子加封明哲度字陽和三年二月年自为收漫首路加封颖神護国二字真尊顺皇帝福泰三二十九日为人斯得國芳奠安加封英明仁勇二字陽知十月二日海诞生皇子加封衍福垂禄二字神尊渊皇帝没位慶年七月十七皆为茂增王寿加
HVH_007_000019	封助顺垂休清世三字福春七年二灵翊正三字或四年国闰五月十三日为奏捷加封刚数正德四年二月十九日为王府饮天朝进封副国王加封顕聰妙X产E直睿智三字永爵三年十一月二九日为收漫隆加封垂休衍福二字玄尊穆皇
HVH_007_000020	帝景治八年回月十八日为除莫逆一牵成功加封顯光明威武三字嘉尊美皇帝陽伤三年七月二十九日为相公6Y助皇园保安王業加封雄明漠数三字熙尊章皇正和年闰六月二四日为熟王嗣位加封豪傑勇智才明三字裕尊和皇帝永盛
HVH_007_000021	六年月初十日嗣王进封王位加封令声美间後伤三字昏另公永慶二年十二月初十日为皇宗受禅王府进封一体加封雄斯英就豁達慈祥聪明睿智六字顕尊永皇帝景兴元年七月二十四日为嗣王进封王位加封焕赫博毅熙报三字景興二
HVH_007_000022	十八年嗣王進封王位加封宏献伟神礼三字景興四早十二年七月十日帥府靖王令旨壽昌縣河日坊密泰北上北下三甲原奉事白驾上A已解经查宴衣许为皂书远年间絮錢及崛路橋梁送裕结综等最灵祠從来歲辰備物修理宿直发牛会
HVH_007_000023	盟祈祷等礼二供券場一切户分搜差各役饒兑景興四十四年五月十六日为嗣王近封王位加封融新彰威裕泽三字昭统皇帝眼统元年三月二蓬案#卓个皇孙即住以明年为眼统元年四十七年六月端王殉七月题宗升遐皇朝明命二
HVH_007_000024	年辛巳七月二十一日奉口禦侮保障上寺神世祖高皇帝大振英威用拓部土肆今不耿命兄绍鸿圖加杨威r游子谨崇抚悟所武称童地灵击灵称童旺王气二書文字间有同翼而大界未常背驰刘度赖白马王为童肚王气；
HVH_007_000025	神气可定或者不察指为伏波将军数奶正和丁印重修将军配说中康熙日嘉禾郑民竣曾着神祀方办向止世容再教为S考書字出杉穗城原氏称神为童献度鄉民社村为城血食子资之交州拱極像昇竜都大城煌故姓蘇名酒别有其人汉
HVH_007_000026	於晋初顯季高王命为城隍陈重興典隆洞累封佛保国题灵定邦等字祠玉大内林宛中等度赖白马王出相儿拿顯梦事在成通七年李朝命为城隍陳朝重興兴隆间累封佑顺威滑享等字庙玉东都東市二者相去甚运汇可比而同之意者古
HVH_007_000027	锦传抄系合雜谬辗转或失其真可以为定评也谨案累朝封号並称廣赖佑正威清享感宣雄其加封美字以℃4HE万上次逸增于白馬号；
HVH_007_000028	上自永寿三年敕封改称宣雄佑正威清字陽正和永盛永度景興服统敕書並因永壽封号今辰祝8册奉遵新号云;{天4美1靈郎大王事跡史記李太尊幸潭湖巴即今西見女子漂帛悦而召之歸而有娠十四月誕生一男八歲未触
HVH_007_000029	言語时值亢早忽語其鄉長日可將我去見皇父郷長遂共之偕赴闕進侍帝乃召其母问故母具以寔對帝留宫中頃之出瘦三月不收黑光烱然医治不效帝日倘非我子當從所之何用苦為也曰臣非父皇子幸托圣体有年于今當去矣但於去废乞
HVH_007_000030	立庙宇居之上許焉乃请屏去左右下惟膜約一更許化成黑蛟意一躯来风至靈郎湖橋有树下尚卧酒臾入水而迦帝命立庙祀之因以靈郎為諱其後屢有靈應歷朝具有褒赠世祖高皇帝大振英成闲拓疆土肆今正膺敕白馬佐正大王護國庇
HVH_007_000031	民稔著功滤经有歷朝封题奉我耿命光银鸿园缅念神床盖隆恩典可加照揭成德侮保障上等神準许壽昌縣鼓坊上村東甲依舊奉神其相佑保o敕我黎民故明命二年七月二十一日世祖高皇帝大振英威闹拓卧土肆今不育救靈郎大王
HVH_007_000032	護國花民着功德经有朝封购奉我耿命光周鸿缅会神麻壹隆见典加姆化场灵助顺上等祥华许昌縣鼓坊上村東甲依舊奉事县箱救佑保我黎民故明命二年七月二十一日教准许奉了明命或拾壹年值我教揚威禦侮保障白马佑止上寺
HVH_007_000033	神護国初民稔美灵行学须绘聖祖仁皇帝五旬大慶節欽奉宝诏覃恩礼隆登秩辉今石膏耿命缅会神床可加贱揭成禦侮保障健顺上等神仍准许昌縣鼓嘉坊上村依奉事神其相佑保我民领乱纪济肆年五月拾贰日购救华许奉予明命或
HVH_007_000034	拾星年值我敕妙化協灵助顺靈印上等神護国庇民稔着灵衣節学预绘宝记单恩礼隆登秩肆今齊聖祖仁皇帝五包大慶印钦奉縣坊土村依舊举事神其相佑保我养民欲哉联命缅会神麻可加照妙化协灵助顺佑正上等神仍华许昌绍洛肆
HVH_007_000035	年五月拾式日即学须绘敕揚威禦侮保障健顺自马佐正上寻神護国礼民检美灵照教准许奉事肆今石联命缅会神床可加贱揭威禦使保障健顺和柔土寺神仍许昌縣鼓坊上村依舊奉事神其相佑保我琴民饮哉纪洛肆年陸月拾扮日
HVH_007_000036	预绘救妙化协灵助顺佑止堂即上神護国衣民美灵衣印学赠教华许奉肆今石膏幸耿命缅会神麻可加照好化协灵助顺佑正题字上等神仍準许昌縣鼓总坊上村依舊奉子神其相佑保我黎民飲乱绍治肆年陸月拾日检着灵衣员蒙
HVH_007_000037	须给敕白马佑玉尊祥原赠揭威禦侮保障健顺和柔上等神護国庇民赠教準许奉予肆今不府联命缅会神麻可加揭威禦传保障健顺和票会光上等神仍3华靠昌縣鼓舞坊上村依舊奉事神其相佑保我茶民饮乱嗣#年拾壹月式旅隆日
HVH_007_000038	暑灵欢师业须绘敕靈即尊神原赠妙化協堂助顺佑正顯学上神護國衣民檢財教準许奉事肆今不育耿命缅念神麻可加增妙化協灵助顺佑飞顯学宏洽上神仍准昌縣鼓坊上村依舊举事神其相佑保我黎民领武嗣德叁年抗壹月或佳日
HVH_007_000039	敕青河内省壽昌縣鼓舞坊上村道香奉事揚威禦侮保障促顺和柔含光白馬佑上寻神奶化協灵助顺佑不题字诊靈郎上等神節经须绘教封準其奉事嗣德参抗壹年值联五日大慶節经须钦哉嗣德叁拾叁年拾壹月或肆日救揚威禦保障
HVH_007_000040	健烦和柔会先白马佑上等神妙化协靈，助顺佑乙题字法冷靈即上神向来護国底民徐着灵贈教留礼肆今唐丕府六印学须绘鼓舞坊上村依舊奉了神其相佑保我黎民飲乱耿命缅念神麻可加赠翊保中興上等胖仍华许河内省昌縣同慶
HVH_007_000041	式年柒月初壹日五2兑甲祠别封敕文敕河内省城第二户行庸鼓舞坊上村兑甲奉事白马宣雄大王尊神護国庇民稔普靈應肆今丕永A石幾神其相佑保我黎民敛哉耿命缅念神麻著封為端甫翊保中興尊神准其奉事庶2啟定二年
HVH_007_000042	叁月拾捌日感應大王尊神護國庇民稔着靈應肆今不永敕河内有城第二户行庸鼓舞坊上村兑甲奉事靈郎幾神其相佑保我黎民钦哉耿命缅念神麻着封為澄湛翊保中興尊神准其奉事庶啟定贰年参月拾捌日5'#敕河城弟二户
HVH_007_000043	鼓舞亭兑甲坊行彬肩徒前奉事白马宣雄大王尊神原赠揚威禦侮保障健顺和菜光翊保中兴上等神護国花民稔著灵衣節業颁给敕封準许奉事肆会正值联四旬大慶节经颁宝诏单产1思禮隆登秩特准依首奉事用志国慶而申祀典教哉
HVH_007_000044	啟定玖年柒月式拾五日敕河城第二户鼓舞亭兄甲坊行楼席徒前奉事溪郎感應大王尊神原贈清朗顕孚助顺汪润法洽翊保中神渡国庇民稔着靈衣节蒙颁给敕封准许奉事肆今正值朕四旬大慶往颁宝诏单息禮隆登秩特準依首奉事用
HVH_007_000045	志国慶而申礼典钦武啟定玖年柒月式拾五日1,-敕保寧公主河海秀经山川英航玉贸水资团色园民鼓春莹出神入聖天威覆国壽昌磐泰赫濯既彰美湖王進封誉褒封载牵彝章为纯慈淑公主故王位居正府禮有登秩庆加美字三
HVH_007_000046	字可加封保寧莊正貞敕景典回十四年七月二十六日救保寧公主莊正贞纯慈淑河海秀经山川英航玉贸水资园濯既彰美壹褒封再牵彝章为默相邑固民鼓舞臺出神入聖天成沪国昌磐泰赫貞纯慈淑芳蓉嘉行纯一公主故皇家穹圖
HVH_007_000047	漫乙禮当登秩方加封美字三字可如封保宁莊敕昭统元年三月二十二日民着灵府向来未有预封肆今不承敕河内省爵昌縣鼓舞坊上村奉事保寧夫人之神国相佑保我黎民钦乱耿命缅会神麻著封为拥婉翊保中兴之神準依舊奉事神
HVH_007_000048	具成泰元年十一月十八日74兑甲祠别封敕文教河内省城第二户行梦庸鼓舞坊上村兑甲奉事保寧最靈公主尊神護國花民稔著靈應肆今不永耿命缅念神麻善封為齋静翊保中兴中等神华其奉事庶2幾神其佑保我黎民钦哉
HVH_007_000049	`1g8啟定贰年叁月拾捌日中敕河城第二户鼓舞亭兑甲坊行栈席従前奉事保字最靈公主尊神原赠齋静翊保中兴中寺神汉国庇民稔著广靈應节檬颁给敕封准许奉事肆今正值朕四旬大慶節任颁寶詔票而申祀典钦武恩禮隆
HVH_007_000050	登秩着加贈莊徽上寺神特準奉事用誌圆慶欲定玖年柒月式拾五日NGIANHIVIo0O0otntl
