HVH_006_0006_000001	翁仲来成爱:身長二丈餘，越居如見訪曲節度典南刘岩通好柜梁曲题平子承美曲節度五。
HVH_006_0006_000002	李辰下供州由题称節度使广瑞，是吾广位，求節成于梁主怒，遣季克正攻承美之洪州。
HVH_006_0006_000003	曲遺一。
HVH_006_0006_000004	楊廷藝節度通好漢劉岩他年保有南R楊節度，又場度。
HVH_006_0006_000005	楊廷藝曲也。
HVH_006_0006_000006	逐深李自顾州事，马养子矯公莱所。
HVH_006_0006_000007	場公矯奴謀不義，深主使其子弘操将無救之，漢援发，無台不有唐。
HVH_006_0006_000008	林脊誰興計。
HVH_006_0006_000009	賊知楊右兄三哥輔其子昌岌三逐昌而自立，僭称平王，白騰自立王。
HVH_006_0006_000010	吳公考螺位六年，遺艺妻以女使管爱州。
HVH_006_0006_000011	至是珠公羡破南浪帖。
HVH_006_0006_000012	白藤鯨。
HVH_006_0006_000013	可憐知有关，還都蜀，改城遺託誤楊兄-大。
HVH_006_0006_000014	其兄昌岌為天策王。
HVH_006_0006_000015	岌卒，始亲悲政，称王攻唐阮大平行玉慈。
HVH_006_0006_000016	广昌文反，兵三。
