HVH_026_0027_0001	聞阡陌 以爲田 砍大樹 砍古感反音坎 以冬琢木也 五穀大夫 百里奚去虞而媵於楚秦穆公聞其 賢乃以五羖皮贖之爵以上卿故人 呼爲五穀大夫。
HVH_026_0027_0002	史記晉貢五 羖皮爲人養牛以是要秦 穆公三十年立九年立晉惠公三十年立 懷公二十四年立文公 譌譌 譌各反直言也劉向父無譌之子 兄無譌又之第七何互得 置晉君易曰利者義之和也 出乾卦 文言 利用安身以崇 德也 出易下繫尺蠖之屈以求伸也竜蛇之蟄以存身也 精義入神以致用也利用安身以崇德也 鷄口牛後 口字即尸字 尸鷄者鷄中 之主也牛後者牛子之後後也莊秦之說朝國益謂從以抗秦自是鷄中之主 若從秦不過爲牛子之後耳但尸字口字相近故訛舛而以爲口耳此美方效車轂擊人肩摩 蓋謂臨淄之途甚險而隘故車之行其轂相摩擊人之 行其肩相摩 𤿙猶石車言車不得方軌駢不得咸列也 合縱連橫 蘇秦以六戈爲縱張儀以一離六爲 橫故縱曰合橫曰連。
HVH_026_0027_0003	衡通作橫 捷堅甲利兵 出孟子梁惠 王上篇 赧王 赧之平 反 蒼押 頭 無冠以青布纒 頭曰蒼頭 捭 捭音 揣摩也 闔 闔者閉也出字彙 鬼谷書三卷有捭闔篇蘇秦學之 狗盜 鄭或 鷄鳴 謝 涓人 官名 士爭趣燕 趣音趨趨趣 三字同音義 糖𧹟 𧹟與𧹟同草 木之葉也古之人有以皮幣珠玉而不得免 指太王事 薰鬻時 損卦 山澤損象曰山 下有澤損君子以 懲忿窒欲言君子見損之象以損於己在修己之道所當損者 惟念與欲故懲或其忿怒而窒塞其私欲也 國風 詩邶風 雄雉章 曰百爾君子不知德行不忮不求 何用不臧豈言不知德行乎 不遷怒 出論語 雍也 暴虎馮河 詩小雅小旻 寓大夫譪周
