HVH_008_0037_000001	E线天原承司参政孔見承思寵，方面饮见作大参聖朱有人订地往，雄气馬牧来。
HVH_008_0037_000002	南朝。
HVH_008_0037_000003	褒尔开科擢第三。
HVH_008_0037_000004	文章政了两皆堪。
HVH_008_0037_000005	词章有廷边邵寄动，重的是仅守的是男至性。
HVH_008_0037_000006	原来孝第慈，教人復本，壮和尽富棉。
HVH_008_0037_000007	点编易行香隨效卷。
HVH_008_0037_000008	贺意山府训導尋制得言师道士风言行表陽光春色笑谈餘。
HVH_008_0037_000009	欲欲天命静存處，向上须星霜。
HVH_008_0037_000010	歷凭秋立雪，昔曾同講席河，今又共仙舟。
HVH_008_0037_000011	安边昼多祥期交契雨调缪。
HVH_008_0037_000012	点题文斗侯贯在陽建瑞府誥后谋献，笑我早耀，定知魁擢挽一筹。
HVH_008_0037_000013	算我又公输名胜学桂籍，更留清落满槐庭。
HVH_008_0037_000014	心言私累家生白诗有"亭山对青，一门父子第而兄道学相停本六程。
HVH_008_0037_000015	曾把贺正旦天寿，斗南光彩耀年長，共紫微星经衡始春王对辰育物仁同大财，多新民俊，用民章。
HVH_008_0037_000016	数上南山祝乾坤。
HVH_008_0037_000017	闭泰三隅，气怜融化，日長风層细行。
HVH_008_0037_000018	夏正麟忆長安友人颂太平："天子张边紫氣坐侵目，月下竞楼独倚桐颜邑，共憑清夢想青书多是亲国相建一关间。
HVH_008_0037_000019	别辰容易，見辰难。
HVH_008_0037_000020	平年看朝来如许方携于。
HVH_008_0037_000021	共向花心樂，一图席。
HVH_008_0037_000022	」莹与塵全体泽验妙周新坐有琴书燠遗軍生。
HVH_008_0037_000023	1春秉间日，醉前嘉待價特来席上珍的眼穩進将措民第渐老拙，未能兵强效追随替遠征日耀
