HVH_010_0044_000001	男第三諦訓女氏缺直公房。
HVH_010_0044_000002	女氏潔女氏雪文金公房男長諦長副男。
HVH_010_0044_000003	曹郡公房副。
HVH_010_0044_000004	刑公傳左庶子，秩正三品。
HVH_010_0044_000005	體忠。
HVH_010_0044_000006	子孚清慎，諡宏博公。
HVH_010_0044_000007	曹郡公長子。
HVH_010_0044_000008	學有文名，鄉試解元，歷仕付知刑番。
HVH_010_0044_000009	後以字
