HVH_029_0002_0001	桂宮檢校李朝太師蘇忠節王像
HVH_029_0002_0002	古今傑集像 二
HVH_029_0002_0003	桂宮檢校
HVH_029_0002_0004	李朝元臣
HVH_029_0002_0005	孤忠貫日
HVH_029_0002_0006	大節凌雲
HVH_029_0002_0007	內扶皇極
HVH_029_0002_0008	外淨邊塵
HVH_029_0002_0009	千秋全品
HVH_029_0002_0010	武武文文
HVH_029_0002_0011	鑒壇韓僊讚
