HVH_010_0078_000001	在府治事，繞八月，即奉諭来京，簡用囊索，萧然無所有。
HVH_010_0078_000002	年四十。
HVH_010_0078_000003	甲午春，離治八京，側室與隨。
HVH_010_0078_000004	四月陞補吏.部員外郎，誥授奉議大夫。
HVH_010_0078_000005	品县莊。
HVH_010_0078_000006	生四十一。
HVH_010_0078_000007	乙未年三月，侧室阮氏女娟生，五月，日奉。
HVH_010_0078_000008	是年九月，夫人在家，女觀會试同考官。
HVH_010_0078_000009	嗣奉仕事，殊有勤幹，近因病耳。
HVH_010_0078_000010	睽都御史藩公伯连同文理。
HVH_010_0078_000011	予闻已久，内閣侍郎何公宗權對，以其人文学可聖祖仁皇帝贤縉紳全编问18辞稱之有治事才論，謂人才難得重聽，不妨卽準。
HVH_010_0078_000012	五月，奉克堂官阮忠義代草谢表，有句云"乱賊共誅之愤，出自大表。
HVH_010_0078_000013	时制四品以上方给朝服，例有上表谢恩。
HVH_010_0078_000014	四十二。
HVH_010_0078_000015	丙申，政要所纂修，蒙赏白金五两。
HVH_010_0078_000016	时為吏部良書生，一介之微，何裨戦士！
HVH_010_0078_000017	聖上怪其能忠義以寔對云"吏部郎中阮文理為之代草，勅謂此文辞義可觀，廷不比尋常舊套諸故套，殊歎赏焉。
HVH_010_0078_000018	甫文稍俊健，間朝大制作箋表制誥，詔大文章，或與討論草創之。
HVH_010_0078_000019	至於論慷慨，務存宽厚。
HVH_010_0078_000020	在部日请学政得兴，布，按敵礼，封赠為言官。
HVH_010_0078_000021	給事中阮叙代草請五品官父母得封訓，不職者，只降一级與休。
HVH_010_0078_000022	援引清典：七品官父母得以廣勤孝勸忠之教。
HVH_010_0078_000023	奉殊批説得正理。
HVH_010_0078_000024	後四品官父母皆奉皇恩光荣。
HVH_010_0078_000025	四十丁酉五月，夫人在家。
HVH_010_0078_000026	其頭生男應殤。
HVH_010_0078_000027	十二月，阮氏男珩生。
HVH_010_0078_000028	四十四年（戊戌之三月，會試，又奉克同考官殿试，奉殊批閱巷官新進士，赐大朝冠服八御圈看花。
HVH_010_0078_000029	自是科始阅巷官恩。
HVH_010_0078_000030	銀花一枝，重0。
