HVH_005_0016_000001	四百十九年，李彬进付帝奋，破從出现，清华頭，地满关潼，人条俄育，称为睿示滴源。
HVH_005_0016_000002	世明抗戰屡小，勝集一隅，惜号天堂帝。
HVH_005_0016_000003	李彬戰殿崩，當一千四百二十十年，海陽水棠，军声大振，纪律明所到，秋毫無犯，出，民争歡迎久。
HVH_005_0016_000004	。
HVH_005_0016_000005	于年人常目为借，其亦未成功，三九祖也。
HVH_005_0016_000006	一千四百二十四年，帝進克帝，雄毅有大变，国民歸心。
HVH_005_0016_000007	但帝欲典明确和戒殺，是都城自胡建造气也。
HVH_005_0016_000008	辰有胡自称为限之明，遣使世立为嗣帝命於利帝之也。
HVH_005_0016_000009	帝以明求役，每復可立者，故即縣我国，乃使胡作称嵩驰奏，明其曰"技处得所把，则立保出。
HVH_005_0016_000010	16佳，隐跡保林，保存性，但民心未忘，常欲使臣出现，明尚在復间，上国大辱南境声运之臣，臣有奏日，必黎利多谋，不可轻。
HVH_005_0016_000011	自又有奏口将士久疲处，折傷甚象，未见成功，不若因彼乡求封，彼幸子上建，仰祈睿鉴，復得承先优慰国民望不勝感，屏之。
HVH_005_0016_000012	至明帝觉表，未知水何裁。
HVH_005_0016_000013	明赦明将士乡彼者護送回国，但坐摊虚器，政尽由常出高，自知不附，寻同尽立出公愿，朝野景我。
HVH_005_0016_000014	0。
HVH_005_0016_000015	二十八年，陆阳休兵，复争得明帝乡，遣使册封出安南国王，明便至，黎利迎接甚，又尽，国内颇已寧。
HVH_005_0016_000016	朝臣请帝青寺初陈，得封，更家，每比除局，俄是一辰。
HVH_005_0016_000017	借做想，未足为定。
HVH_005_0016_000018	评之大祖十年同剧造成世独。
HVH_005_0016_000019	3，福運直英雄哉！
HVH_005_0016_000020	纲目记：年利自一千四百十八年称五，至一千四百二十八年称帝。
HVH_005_0016_000021	商号第十六篇二十七年，黎祖况即位，遣便如明奏，已请嗣登位。
HVH_005_0016_000022	北史家谓明帝见擅自欲号至一千六百七十七。
HVH_005_0016_000023	七年六年，帝崩，一千四百三十三年，次子元竟嗣，是为太宗。
HVH_005_0016_000024	在位自一千四百日讨致，又惮劳费，不得已，封安南国。
HVH_005_0016_000025	。
HVH_005_0016_000026	帝不侯，北朝封先已晋，杀都東京，建元顺天三十三年，千四百二，傳至一千五百二十七年，九相仁。
HVH_005_0016_000027	一0辞叔盛哉！
HVH_005_0016_000028	往一代建，题没诸多要重，别於南国，史上绝大之價值。
HVH_005_0016_000029	怪数百年役出力共支頗女赢講，務使前日抗之，军有所取。
HVH_005_0016_000030	定税额，民线票自随便，又成钱價，如古，每信作政治焕。
HVH_005_0016_000031	独是文代盛而武備哀，其势还流積弱耳。
HVH_005_0016_000032	。
HVH_005_0016_000033	票在近十年间，财政问题，陌七十文，或卡十五文，兹减定五十文。
HVH_005_0016_000034	一。
HVH_005_0016_000035	陌民税再定開确例及征预租。
HVH_005_0016_000036	。
HVH_005_0016_000037	列君皆注意。
