HVH_010_0053_000001	男配文江桐井社人，生子五，男，傳男溪二月十八日忌。
HVH_010_0053_000002	53。
HVH_010_0053_000003	男宝。
HVH_010_0053_000004	女妙。
HVH_010_0053_000005	女坦。
HVH_010_0053_000006	男有公房副刑。
HVH_010_0053_000007	公房鄉貢。
HVH_010_0053_000008	奉侍二跡。
HVH_010_0053_000009	文職將仕郎。
HVH_010_0053_000010	先興府儒學訓導。
