HVH_021_0019_0001	公十六年曲沃武公滅之在位二十七年 曲沃武公稱公十六年滅晉
HVH_021_0019_0002	緡侯王命以一軍為晉侯始更號曰晉武公在位二十四年
HVH_021_0019_0003	獻公在位二十六年 惠公在位十四年 懷公在位二年
HVH_021_0019_0004	文公在位九年 襄公在位八年 靈公在位十七年
HVH_021_0019_0005	成公在位八年 景公在位二十年 厲公在位九年
HVH_021_0019_0006	悼公在位十六年 平公在位二十六年 昭公在位七年
HVH_021_0019_0007	頃公在位十五年 定公三十三年魯哀公十二年孔子絕筆
HVH_021_0019_0008	龍岡 藏板
