HVH_013_0002_0001	天下之事有難有易
HVH_013_0002_0002	王道以久而化成
HVH_013_0002_0003	王道以得民爲本
HVH_013_0002_0004	圣王治天下以歳谷爲朝廷之大政
HVH_013_0002_0005	展事之綴也
HVH_013_0002_0006	閠二字附錄在後
HVH_013_0002_0007	道之大原出于天其用在
HVH_013_0002_0008	天下其
HVH_013_0002_0009	傳去圣賢
