HVH_027_0039_0001	春秋祭先靈列祖祭文。
HVH_027_0039_0002	位前曰。
HVH_027_0039_0003	天入新春歲改而江山換色。
HVH_027_0039_0004	人於同井運逢而雨露生心。
HVH_027_0039_0005	遂因相友相助之情。
HVH_027_0039_0006	念及事死事生之義。
HVH_027_0039_0007	其上具左右。
HVH_027_0039_0008	仰達華敷之精靈。
HVH_027_0039_0009	此地此人民長近泰來之福。
HVH_027_0039_0010	賜年增富貴。
HVH_027_0039_0011	日壽榮華。
HVH_027_0039_0012	鄰合東閭閻之杏村競藝通中外。
HVH_027_0039_0013	甌歌之燕語頻催。
HVH_027_0039_0014	實賴到祖陰扶之力。
HVH_027_0039_0015	恭請從前之𦙏光霊到位。
HVH_027_0039_0016	咸茲敬格。
HVH_027_0039_0017	等貳尚享。
