HVH_024_0061_0001	開山社會元黃甲參政 陳春榜
HVH_024_0061_0002	由講諭年四十三中會元憂相地室云曾殊能已矣張三十遂中丑科起八翰林崇報以從黃璵陳璪之外祖也
HVH_024_0061_0003	玄尊
HVH_024_0061_0004	永治丙辰科取十八名
HVH_024_0061_0005	桐溪社山西道憲察使 阮春榕
HVH_024_0061_0006	由曾生年五十二中仕至憲察被貶為監察御史廣文之玄孫
HVH_024_0061_0007	上答社甲辰科進士字爵庭 吳先生
HVH_024_0061_0008	甚桿試處分被貶自創自甚處試不點
HVH_024_0061_0009	育大社奉講進朝工部左侍郎致仕贈禮部尚書郡公
HVH_024_0061_0010	阮公派
HVH_024_0061_0011	癸酉年五月初五日寅時生
HVH_024_0061_0012	熙宗
HVH_024_0061_0013	正和乙丑科取十三名
