HVH_011_0013_0001	肥兒丸 九味消積三味肅淸二味殺虫
HVH_011_0013_0002	三稜 莪朮 青皮 俱醋炒 神麴 炒 川黃連 胡黃連
HVH_011_0013_0003	史君子 去殼浸透去皮各一兩 蘆薈 堅梹榔 香附子 炒陳
HVH_011_0013_0004	皮 去白 麥芽 炒 蕪荑 炒黃各五錢 南木香 三錢 以上爲細末
HVH_011_0013_0005	除神麴麥芽另研爲細末打糊和前藥爲丸如粟米
HVH_011_0013_0006	大二歲以下每服三分五歲以下服五分空心淸米
HVH_011_0013_0007	飲下臨臥白滾水下 有痃癖加阿魏 酒浸研 化和入乾漆
HVH_011_0013_0008	炒各七錢
HVH_011_0013_0009	終畢
HVH_011_0013_0010	成泰甲辰冬十月初三日半夜前
HVH_011_0013_0011	盗入覓得眼鏡二件
HVH_011_0013_0012	去月一件此鏡懸于服上昨見萬里外留人書中字
HVH_011_0013_0013	觀音殿寮房毫無遺存
