HVH_002_0013_000001	東岸河正一旁子，河兽真竜，形如舞鳳，左翼拒未，右翼共间阴。
HVH_002_0013_000002	天山垂阳，地水派。
HVH_002_0013_000003	25或安肯頭，或藏頭上穴正形真世出相左右曲池，亦科榜。
HVH_002_0013_000004	此地以石并坦立穴，深下四尺，見之。
HVH_002_0013_000005	東岸詠橋正一旁二，東岸标橋，地生两條，永後生。
HVH_002_0013_000006	超伏前客，岩贵逆水，友泄，顺山右朝。
HVH_002_0013_000007	2財水泄，遇考官不超竜頭法定亮榜样：父荣子貴，童招亮邀射，見之。
HVH_002_0013_000008	此地以坦并镇五文立完，深下四尺，
