HVH_021_0087_0001	數目
HVH_021_0087_0002	百里居許、三甥仕卻  息侯不歸而祀其五邦、國因乱而分爲三、
HVH_021_0087_0003	曹不用僖而爲軒之乘者三百人、禺不知害而恃郢之遠者九百里  楚逕巴師
HVH_021_0087_0004	者三、羅軍誓師者亟  許穆公從師既卒加以二等、邾莊公好潔先瘞殉以
HVH_021_0087_0005	五人  以上數目門
HVH_021_0087_0006	龍岡
HVH_021_0087_0007	国邑 成數小注
